jugador,edad,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,avg,obp,slg,ops,ir,rc,tb,xb,hbp,sh,sf,years
Danry Vásquez,26,27,111,87,25,36,8,0,5,28,4,1,24,18,0.414,.541,.678,1219,210,31.9,59,13,0,0,0,2020-21
Junior Sosa,30,33,133,116,24,39,6,2,1,7,3,2,17,18,.336,.421,.448,.869,122,21.9,52,9,0,0,0,2020-21
Daniel Mayora,35,36,140,128,21,36,9,0,6,28,1,0,12,22,.281,.343,.492,.835,112,21.6,63,15,0,0,0,2020-21
José Martínez,32,30,114,96,21,31,8,0,1,15,1,0,18,25,.323,.430,.438,.867,123,18.1,42,9,0,0,0,2020-21
Heiker Meneses,29,31,115,110,20,36,5,0,1,18,3,0,5,32,.327,.357,.400,.757,93,15.7,44,6,0,0,0,2020-21
Teodoro Martínez,28,32,117,108,11,30,7,0,0,11,0,0,9,8,.278,.333,.343,.676,73,12.3,37,7,0,0,0,2020-21
Jairo Pérez,32,29,105,100,14,27,6,0,2,14,3,1,5,14,.270,.305,.390,.695,77,11.9,39,8,0,0,0,2020-21
Edgar Duran,29,24,93,84,8,25,2,2,0,13,1,0,9,8,.298,.366,.369,.735,88,11.3,31,4,0,0,0,2020-21
Juan Torres,32,21,57,56,6,19,8,0,1,11,0,0,1,9,.339,.351,.536,.887,124,10.5,30,9,0,0,0,2020-21
Lorenzo Cedrola,22,28,74,70,13,22,3,0,0,8,4,0,4,13,.314,.351,.357,.708,82,8.8,25,3,0,0,0,2020-21
Maikel García,20,15,59,51,10,16,3,1,0,7,0,1,8,12,.314,.407,.412,.819,110,8.6,21,4,0,0,0,2020-21
Juan Apodaca,34,13,44,37,7,9,2,0,1,8,0,0,7,10,.243,.364,.378,.742,90,5.1,14,3,0,0,0,2020-21
Jonathan Galvez,29,13,46,41,5,11,2,0,0,1,0,0,5,7,.268,.348,.317,.665,71,4.5,13,2,0,0,0,2020-21
Kelvin Melean,22,15,40,38,5,10,2,0,0,8,1,0,2,6,.263,.300,.316,.616,58,3.6,12,2,0,0,0,2020-21
Diego Infante,21,18,51,47,5,10,2,0,0,5,0,0,4,18,.213,.275,.255,.530,36,3.3,12,2,0,0,0,2020-21
Arvicent Pérez,26,11,29,26,1,6,1,0,0,5,0,1,3,6,.231,.310,.269,.580,49,2.2,7,1,0,0,0,2020-21
Carlos Herrera,24,23,52,47,8,7,2,0,0,4,1,0,5,13,.149,.231,.191,.422,9,2.1,9,2,0,0,0,2020-21
Eduardo Torrealba,21,10,18,18,1,5,1,0,0,2,0,1,0,3,.278,.278,.333,.611,56,1.7,6,1,0,0,0,2020-21
Alexander Álvarez,24,8,22,21,1,2,0,0,1,3,0,0,1,13,.095,.136,.238,.374,-6,0.7,5,1,0,0,0,2020-21
Néstor Heredia,20,7,15,13,4,1,0,0,0,0,0,0,2,6,.077,.200,.077,.277,-27,0.2,1,0,0,0,0,2020-21
Yeikel Blandin,20,3,2,1,1,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,37,0.0,0,0,0,0,0,2020-21
Yhoswar Garcia,19,7,5,5,1,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0.0,0,0,0,0,0,2020-21
