jugador,edad,w,l,w-l%,era,g,gs,cg,sho,sv,ip,h,r,er,hr,bb,so,ir,whip,h/9,hr/9,bb/9,so/9,so/bb,bk,years
Gregory Infante,33,1,6,.14,7.71,17,0,0,0,4,16.1,26,20,14,0,9,18,64,2.143,14.33,0.00,4.96,9.92,2.00,,2020-21
Víctor Díaz,27,2,1,.67,2.89,9,9,1,1,0,37.1,35,12,12,2,18,16,172,1.42,8.44,0.48,4.34,3.86,0.89,,2020-21
Jorgan Cavanerio,26,2,3,.40,3.56,15,4,0,0,1,30.1,33,17,12,4,11,14,139,1.451,9.79,1.19,3.26,4.15,1.27,,2020-21
Rafael Cova,38,2,0,1.00,5.40,16,0,0,0,0,15.0,19,14,9,2,12,13,92,2.067,11.40,1.20,7.20,7.80,1.08,,2020-21
Arnaldo Hernández,24,0,1,.00,5.14,14,0,0,0,0,14.0,18,9,8,1,5,12,96,1.643,11.57,0.64,3.21,7.71,2.40,,2020-21
Eudis Idrogo,25,0,3,.00,5.12,9,5,0,0,0,19.1,28,12,11,2,5,11,97,1.707,13.03,0.93,2.33,5.12,2.20,,2020-21
Johan Belisario,27,1,1,.50,4.76,6,4,0,0,0,17.0,18,9,9,3,3,8,104,1.235,9.53,1.59,1.59,4.24,2.67,,2020-21
Ruddy Acosta,29,1,0,1.00,3.86,2,2,0,0,0,9.1,11,4,4,1,0,8,128,1.179,10.61,0.96,0.00,7.71,,,2020-21
Anthony Escobar,20,1,0,1.00,3.63,6,4,0,0,0,17.1,10,7,7,2,9,7,137,1.096,5.19,1.04,4.67,3.63,0.78,,2020-21
Gustavo Armas,24,1,2,.33,3.86,12,3,0,0,0,25.2,23,15,11,1,8,6,128,1.208,8.06,0.35,2.81,2.10,0.75,,2020-21
Julio Pinto,25,0,0,,3.00,11,0,0,0,0,6.0,11,2,2,0,10,6,165,3500,16.50,0.00,15.00,9.00,0.60,,2020-21
Kristhiam Linares,34,1,0,1.00,6.00,10,0,0,0,0,9.0,10,6,6,0,5,5,83,1667,10.00,0.00,5.00,5.00,1.00,,2020-21
Ofreidy Gómez,25,1,2,.33,15.75,5,3,0,0,0,8.0,19,14,14,0,4,5,31,2875,21.37,0.00,4.50,5.62,1.25,,2020-21
Sandy Báez,27,2,0,1.00,4.11,7,2,0,0,0,15.1,14,11,7,0,8,5,121,1435,8.22,0.00,4.70,2.93,0.63,,2020-21
Eduardo Jiménez,25,0,0,,4.32,8,0,0,0,0,8.1,9,4,4,1,4,5,115,1560,9.72,1.08,4.32,5.40,1.25,,2020-21
Wuilder Rodríguez,27,0,0,,15.00,8,0,0,0,0,6.0,15,10,10,1,4,5,33,3167,22.50,1.50,6.00,7.50,1.25,,2020-21
Henry Medina,23,0,0,,10.29,7,0,0,0,0,7.0,11,8,8,1,5,4,48,2286,14.14,1.29,6.43,5.14,0.80,,2020-21
Hector Mayora,31,0,1,.00,5.62,7,0,0,0,0,8.0,12,5,5,1,2,4,88,1750,13.50,1.12,2.25,4.50,2.00,,2020-21
Jhonathan Torres,30,0,0,,3.00,8,0,0,0,0,6.0,9,2,2,0,4,4,165,2167,13.50,0.00,6.00,6.00,1.00,,2020-21
Nelson Hernández,23,0,0,,5.51,9,2,0,0,0,16.1,18,11,10,0,5,4,90,1408,9.92,0.00,2.76,2.20,0.80,,2020-21
Brayan Salaya,20,0,1,.00,22.50,3,0,0,0,0,2.0,4,5,5,0,4,2,22,4000,18.00,0.00,18.00,9.00,0.50,,2020-21
Ángel Ventura,27,0,1,.00,15.00,2,2,0,0,0,3.0,5,5,5,0,6,2,33,3667,15.00,0.00,18.00,6.00,0.33,,2020-21
Christian Mejias,21,0,0,,13.50,4,0,0,0,0,4.0,3,6,6,0,5,2,37,2000,6.75,0.00,11.25,4.50,0.40,,2020-21
Antonio Noguera,32,1,1,.50,10.24,8,0,0,0,0,9.2,15,11,11,1,4,1,48,1966,13.97,0.93,3.72,0.93,0.25,,2020-21
Yosmel Naranjo,20,0,0,,16.88,2,0,0,0,0,2.2,6,5,5,1,2,1,29,3000,20.25,3.38,6.75,3.38,0.50,,2020-21
Manuel Rodríguez,24,0,0,,7.11,7,0,0,0,0,6.1,11,5,5,1,3,1,70,2211,15.63,1.42,4.26,1.42,0.33,,2020-21
Joel Pinto,24,0,0,,45.00,2,0,0,0,0,1.0,2,5,5,0,2,0,11,4000,18.00,0.00,18.00,0.00,0.00,,2020-21
Hassan Pena,35,0,1,.00,13.50,5,0,0,0,0,3.1,7,5,5,1,1,0,37,2400,18.90,2.70,2.70,0.00,0.00,,2020-21
28 Jugadores,26.6,16,24,.40,5.89,219,40,1,1,5,323.2,402,239,212,26,158,169,84,1730,11.18,0.72,4.39,4.70,1.07,,2020-21
