"","years","jugador","x","f_nac","edad","exp"
"2","2021-22","Aldry Acosta","🇻🇪","07/09/1999","22","1"
"3","2021-22","Luis Aviles Jr.","🇺🇸","16/03/1995","26","1"
"4","2021-22","Jean Cabrera","🇻🇪","20/10/2001","20","1"
"5","2021-22","Jorgan Cavanerio","🇻🇪","18/08/1994","27","5"
"6","2021-22","Lorenzo Cedrola","🇻🇪","12/01/1998","23","2"
"7","2021-22","Rafael Cova","🇻🇪","05/03/1982","39","18"
"8","2021-22","David Davalillo","🇻🇪","21/09/2002","19","1"
"9","2021-22","Víctor Díaz","🇻🇪","06/10/1993","28","3"
"10","2021-22","Samir Dueñez","🇻🇪","11/06/1996","25","5"
"11","2021-22","Juan Fernandez","🇻🇪","07/03/1999","22","1"
"12","2021-22","Ryan Flores","🇲🇽","22/04/1993","28","1"
"13","2021-22","Maikel García","🇻🇪","03/03/2000","21","2"
"14","2021-22","Ricardo Genoves","🇻🇪","14/05/1999","22","2"
"15","2021-22","Emilker Guzman","🇻🇪","10/02/1999","22","1"
"16","2021-22","Luis Guzmán","🇻🇪","27/02/1996","25","2"
"17","2021-22","Arnaldo Hernández","🇻🇪","09/02/1996","25","2"
"18","2021-22","Nelson Hernández","🇻🇪","13/03/1997","24","2"
"19","2021-22","Carlos Herrera","🇻🇪","23/09/1996","25","4"
"20","2021-22","Eudis Idrogo","🇻🇪","06/06/1995","26","6"
"21","2021-22","Gregory Infante","🇻🇪","10/07/1987","34","13"
"22","2021-22","Eduardo Jiménez","🇻🇪","04/04/1995","26","2"
"23","2021-22","Jesus Lujano","🇻🇪","18/02/1999","22","1"
"24","2021-22","Rafael Marchan","🇻🇪","25/02/1999","22","1"
"25","2021-22","Teodoro Martínez","🇻🇪","16/03/1992","29","9"
"26","2021-22","Daniel Mayora","🇻🇪","27/07/1985","36","14"
"27","2021-22","Hector Mayora","🇻🇪","22/06/1989","32","7"
"28","2021-22","Kelvin Melean","🇻🇪","05/09/1998","23","2"
"29","2021-22","Heiker Meneses","🇻🇪","01/07/1991","30","13"
"30","2021-22","Anthony Ortega","🇻🇪","24/08/1985","36","14"
"31","2021-22","Eugenio Palma","🇻🇪","26/11/1996","25","3"
"32","2021-22","Jairo Pérez","🇻🇪","10/06/1988","33","11"
"33","2021-22","Edubray Ramos","🇻🇪","19/12/1992","29","3"
"34","2021-22","Brayan Rocchio","🇻🇪","13/01/2001","20","1"
"35","2021-22","Wuilder Rodríguez","🇻🇪","21/01/1993","28","4"
"36","2021-22","Myles Smith","🇺🇸","23/03/1992","29","1"
"37","2021-22","Junior Sosa","🇻🇪","03/10/1990","31","8"
"38","2021-22","Juan Torres","🇻🇪","10/07/1988","33","7"
"39","2021-22","Danry Vásquez","🇻🇪","08/01/1994","27","7"
