"years","jugador","edad","g","pa","ab","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo","resultado"
"1964-65","W. Bond",27,5,,17,6,5,1,0,1,3,0,,,,294,,529,0,,9,2,,,,"NO","campeon"
"1969-70","V. Davalillo",33,3,,11,0,1,0,0,0,0,0,,,,91,,91,0,,1,0,,,,"SI","subcampeon"
"1976-77","V. Colina",31,2,,3,0,0,0,0,0,1,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1966-67","T. Obregon",30,4,,7,1,2,0,0,0,1,0,,,,286,,286,0,,2,0,,,,"SI","subcampeon"
"1966-67","T. Curry",29,5,,18,3,7,1,0,0,1,1,,,,389,,444,0,,8,1,,,,"NO","subcampeon"
"1976-77","S. Patchin",0,6,,22,2,4,2,0,0,2,1,,,,182,,273,0,,6,2,,,,"NO","subcampeon"
"1970-71","S. Barber",22,1,,3,0,0,0,0,0,1,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1969-70","R. Webster",27,3,,10,0,1,0,0,0,0,0,,,,0.1,,0.1,0,,1,0,,,,"NO","subcampeon"
"1986-87","R. Pérez Tovar",28,4,,11,3,3,0,0,1,1,0,,,,273,,545,0,,6,1,,,,"NO","subcampeon"
"1985-86","R. Pérez Tovar",27,7,,29,7,7,0,0,1,3,1,,,,241,,345,0,,10,1,,,,"NO","campeon"
"1984-85","R. Pérez Tovar",26,4,,15,2,4,0,0,0,5,0,,,,267,,267,0,,4,0,,,,"NO","campeon"
"1982-83","R. Pérez Tovar",24,3,,9,3,4,1,0,0,2,0,,,,444,,556,0,,5,1,,,,"NO","campeon"
"2011-12","R. Pérez",22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NO","subcampeon"
"2011-12","R. Olmedo",30,4,12,11,1,2,1,0,0,2,0,0,1,3,182,0.25,273,523,0.8,3,1,0,0,0,"NO","subcampeon"
"1968-69","R. Nye",24,3,,9,1,2,0,0,0,0,0,,,,222,,222,0,,2,0,,,,"NO","campeon"
"1966-67","R. Muñoz",25,3,,6,1,1,0,0,0,0,0,,,,167,,167,0,,1,0,,,,"SI","subcampeon"
"1982-83","R. Marcano",31,4,,12,2,3,1,0,1,3,0,,,,0.25,,583,0,,7,2,,,,"NO","campeon"
"1976-77","R. Marcano",25,6,,22,0,4,1,0,0,0,0,,,,182,,227,0,,5,1,,,,"NO","subcampeon"
"1971-72","R. Marcano",20,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1986-87","R. Laya",27,2,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1982-83","R. Jackson",29,6,,23,2,9,1,0,0,5,0,,,,391,,435,0,,10,1,,,,"NO","campeon"
"1971-72","R. Hermoso",24,7,,27,2,10,1,0,0,1,1,,,,0.37,,407,0,,11,1,,,,"NO","subcampeon"
"1970-71","R. Hermoso",23,1,,3,1,1,0,0,0,1,0,,,,333,,333,0,,1,0,,,,"NO","campeon"
"1969-70","R. Hermoso",22,3,,9,1,1,0,0,0,0,1,,,,111,,111,0,,1,0,,,,"NO","subcampeon"
"1968-69","R. Hermoso",21,9,,33,3,8,2,0,0,2,1,,,,242,,303,0,,10,2,,,,"NO","campeon"
"1966-67","R. Hermoso",19,5,,17,1,4,1,0,0,1,1,,,,235,,294,0,,5,1,,,,"NO","subcampeon"
"1971-72","R. Gardner",27,2,,6,0,2,1,0,0,0,0,,,,333,,0.5,0,,3,1,,,,"NO","subcampeon"
"1968-69","R. Fingers",22,5,,6,0,1,0,0,0,0,0,,,,167,,167,0,,1,0,,,,"NO","campeon"
"1966-67","R. Clark",23,5,,20,4,6,0,0,0,3,1,,,,0.3,,0.3,0,,6,0,,,,"SI","subcampeon"
"2011-12","R. Álvarez",34,1,1,0,0,0,0,0,0,1,0,0,1,0,,1,,,,0,0,0,0,0,"NO","subcampeon"
"1968-69","P. Torrealba",20,5,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"SI","campeon"
"1971-72","P. Kelly",27,7,,24,2,7,0,0,0,1,1,,,,292,,292,0,,7,0,,,,"NO","subcampeon"
"1970-71","P. Kelly",26,7,,27,5,9,2,0,0,3,0,,,,333,,407,0,,11,2,,,,"NO","campeon"
"1971-72","P. Hamm",24,3,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"SI","subcampeon"
"1984-85","P. Dodson",25,4,,14,2,4,1,0,1,6,0,,,,286,,571,0,,8,2,,,,"NO","campeon"
"1964-65","P. Corrales",23,4,,15,4,7,0,0,0,3,0,,,,467,,467,0,,7,0,,,,"NO","campeon"
"1971-72","P. Casanova",30,7,,26,1,4,0,0,0,1,0,,,,154,,154,0,,4,0,,,,"NO","subcampeon"
"1970-71","P. Casanova",29,7,,27,4,7,2,0,1,6,0,,,,259,,444,0,,12,3,,,,"NO","campeon"
"1969-70","P. Casanova",28,3,,10,0,1,0,0,0,0,0,,,,0.1,,0.1,0,,1,0,,,,"NO","subcampeon"
"1968-69","P. Casanova",27,9,,31,2,7,1,2,0,5,0,,,,226,,387,0,,12,3,,,,"NO","campeon"
"2011-12","O. Salazar",33,6,26,22,2,1,0,1,0,0,0,0,4,3,45,192,136,329,0.6,3,1,0,0,0,"NO","subcampeon"
"1968-69","O. Rojas",24,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1970-71","O. Pena",37,5,,3,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1985-86","O. Moreno",33,6,,27,4,6,0,1,0,4,2,,,,222,,296,0,,8,1,,,,"NO","campeon"
"1986-87","O. Guillén",22,4,,16,0,1,0,0,0,0,0,,,,63,,63,0,,1,0,,,,"NO","subcampeon"
"1985-86","O. Guillén",21,7,,30,5,11,1,1,0,2,0,,,,367,,467,0,,14,2,,,,"NO","campeon"
"1984-85","O. Guillén",20,4,,18,5,9,0,2,0,3,0,,,,0.5,,722,0,,13,2,,,,"NO","campeon"
"1982-83","O. Guillén",18,5,,11,1,3,0,0,0,2,0,,,,273,,273,0,,3,0,,,,"NO","campeon"
"1976-77","O. Blanco",31,5,,16,0,2,0,0,0,1,1,,,,125,,125,0,,2,0,,,,"NO","subcampeon"
"1971-72","O. Blanco",26,7,,22,3,6,1,0,2,3,0,,,,273,,591,0,,13,3,,,,"NO","subcampeon"
