"N","Player Id","Temporada","Fecha","Juego","Equipo","orden","Jugador","IP","H","C","CL","HR","BB","SO","BF","EFE","G","P","SV","BS","HLD","Estadio","oponente","ronda"
8,,"2021-22","23/10/2021",1,"Caribes de Anzoategui",1,"Mayckol Guaipe",4.1,2,0,0,0,1,7,16,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
9,,"2021-22","23/10/2021",1,"Caribes de Anzoategui",2,"Jose Ascanio",0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
10,,"2021-22","23/10/2021",1,"Caribes de Anzoategui",3,"Yeizo Campos ",2,0,0,0,0,0,1,6,0,1,0,0,0,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
11,,"2021-22","23/10/2021",1,"Caribes de Anzoategui",4,"Harold Chirino",1,0,0,0,0,1,1,4,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
12,,"2021-22","23/10/2021",1,"Caribes de Anzoategui",5,"Manuel Cachutt",0.1,3,3,2,0,1,0,5,54,0,0,0,0,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
13,,"2021-22","23/10/2021",1,"Caribes de Anzoategui",6,"Andres Sotillet",0.2,0,0,0,0,0,0,3,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
1,"diavic001","2021-22","23/10/2021",1,"Tiburones de la Guaira",1,"Victor Diaz ",4.1,4,1,1,1,1,4,18,2.08,0,1,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
2,"guzlui001","2021-22","23/10/2021",1,"Tiburones de la Guaira",2,"Luis Guzman",0.2,0,0,0,0,2,0,4,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
3,"infgre001","2021-22","23/10/2021",1,"Tiburones de la Guaira",3,"Gregory Infante",1,0,0,0,0,0,0,3,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
4,"covraf001","2021-22","23/10/2021",1,"Tiburones de la Guaira",4,"Rafael Cova",0.1,1,3,3,0,2,0,4,81,0,0,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
5,"herarn001","2021-22","23/10/2021",1,"Tiburones de la Guaira",5,"Arnaldo Hernandez",0,3,3,3,0,1,0,5,"-.--",0,0,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
6,"mayhec001","2021-22","23/10/2021",1,"Tiburones de la Guaira",6,"Hector Mayora",0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
7,"hernel001","2021-22","23/10/2021",1,"Tiburones de la Guaira",7,"Nelson Hernandez",1,2,1,1,0,0,0,5,9,0,0,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
21,,"2021-22","24/10/2021",2,"Caribes de Anzoategui",1,"Liarvis Breto",4,3,0,0,0,2,4,18,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
22,,"2021-22","24/10/2021",2,"Caribes de Anzoategui",2,"Luis Ramirez",0.1,2,2,2,0,1,1,4,54,0,0,0,0,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
23,,"2021-22","24/10/2021",2,"Caribes de Anzoategui",3,"Jose Ascanio ",0.2,1,0,0,0,0,0,3,0,0,0,0,1,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
24,,"2021-22","24/10/2021",2,"Caribes de Anzoategui",4,"Angel Duno ",0.1,2,1,1,0,0,0,3,27,0,0,0,0,1,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
25,,"2021-22","24/10/2021",2,"Caribes de Anzoategui",5,"Oddanier Mosqueda ",0.2,1,0,0,0,1,2,4,0,0,0,0,1,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
26,,"2021-22","24/10/2021",2,"Caribes de Anzoategui",6,"Angel Guillen ",0.2,1,2,2,1,1,1,5,27,0,1,0,0,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
27,,"2021-22","24/10/2021",2,"Caribes de Anzoategui",7,"Mauricio Llovera",1.1,1,0,0,0,3,2,7,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
28,,"2021-22","24/10/2021",2,"Caribes de Anzoategui",8,"Andres Sotillet",1,3,2,2,0,0,1,7,10.8,0,0,0,0,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular"
14,"cavjor001","2021-22","24/10/2021",2,"Tiburones de la Guaira",1,"Jorgan Cavanerio",3.2,2,2,2,0,1,2,15,4.91,0,0,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
15,"florya001","2021-22","24/10/2021",2,"Tiburones de la Guaira",2,"Ryan Flores",0.2,1,1,1,0,0,1,4,13.5,0,0,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
16,"paleug001","2021-22","24/10/2021",2,"Tiburones de la Guaira",3,"Eugenio Palma",0.2,0,0,0,0,1,0,2,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
17,"guzemi001","2021-22","24/10/2021",2,"Tiburones de la Guaira",4,"Emilker Guzman",0.1,2,0,0,0,1,1,4,0,0,0,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
18,"guzlui001","2021-22","24/10/2021",2,"Tiburones de la Guaira",5,"Luis Guzman ",0.2,1,1,1,0,1,0,4,6.75,1,0,0,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
19,"infgre001","2021-22","24/10/2021",2,"Tiburones de la Guaira",6,"Gregory Infante ",2,1,0,0,0,0,1,5,0,0,0,0,0,1,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
20,"herarn001","2021-22","24/10/2021",2,"Tiburones de la Guaira",7,"Arnaldo Hernandez ",1,1,0,0,0,0,0,4,27,0,0,1,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular"
29,,"2021-22","26/10/2021",3,"Cardenales de Lara",1,"Williams Pérez ",5,3,0,0,0,1,3,19,0,1,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
30,,"2021-22","26/10/2021",3,"Cardenales de Lara",2,"Jackson Stephens",1,1,0,0,0,0,1,3,0,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
31,,"2021-22","26/10/2021",3,"Cardenales de Lara",3,"Argenis Angulo",1,0,0,0,0,0,1,3,0,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
32,,"2021-22","26/10/2021",3,"Cardenales de Lara",4,"Elvis Escobar",1,0,0,0,0,1,0,3,0,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
33,,"2021-22","26/10/2021",3,"Cardenales de Lara",5,"Fabian Blanco",1,0,0,0,0,0,1,3,0,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
34,"idreud001","2021-22","26/10/2021",3,"Tiburones de la Guaira",1,"Eudis Idrogo ",3,4,2,2,0,1,2,11,6,0,1,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
35,"florya001","2021-22","26/10/2021",3,"Tiburones de la Guaira",2,"Ryan Flores",3,3,2,2,0,0,2,11,7.36,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
36,"guzemi001","2021-22","26/10/2021",3,"Tiburones de la Guaira",3,"Emilker Guzman",1.1,2,2,2,0,1,2,7,10.8,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
37,"ortant001","2021-22","26/10/2021",3,"Tiburones de la Guaira",4,"Anthony Ortega",0.2,2,1,1,0,0,0,4,13.5,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
38,"rowui001","2021-22","26/10/2021",3,"Tiburones de la Guaira",5,"Wuilder Rodriguez",0.2,2,2,2,0,0,1,4,27,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
39,"davdav001","2021-22","26/10/2021",3,"Tiburones de la Guaira",6,"David Davalillo",0.1,1,0,0,0,0,0,2,0,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
46,,"2021-22","28/10/2021",4,"Navegantes del Magallanes",1,"Erick Leal",4.1,4,2,1,1,0,5,19,1.04,0,0,0,0,0,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
