"","years","jugador","edad","g","ab","X5","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo","resultado"
"1","2011-12","A. Bastardo","27","3","","","","","","","","","","","","","","","","","","","","","","","NO","subcampeon"
"2","1966-67","A. Bravo","24","5","","21","4","6","1","0","0","3","0","","","",".286","",".333",".000","","7","1","","","","NO","subcampeon"
"3","1969-70","A. Bravo","27","3","","10","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO","subcampeon"
"4","1970-71","A. Bravo","28","7","","24","1","4","0","0","0","1","2","","","",".167","",".167",".000","","4","0","","","","NO","campeon"
"5","1971-72","A. Bravo","29","2","","3","0","1","1","0","0","0","0","","","",".333","",".667",".000","","2","1","","","","NO","subcampeon"
"6","1976-77","A. Bravo","34","6","","26","2","5","1","0","0","1","2","","","",".192","",".231",".000","","6","1","","","","NO","subcampeon"
"7","2011-12","A. Cabrera","40","5","20","18","0","4","0","0","0","1","0","0","1","6",".222",".300",".222",".522","1.2","4","0","1","0","0","NO","subcampeon"
"8","1985-86","A. Cordova","24","2","","7","0","1","0","0","0","2","0","","","",".143","",".143",".000","","1","0","","","","NO","campeon"
"9","1969-70","A. Correa","21","1","","1","0","1","1","0","0","0","0","","","","1.000","","2.000",".000","","2","1","","","","NO","subcampeon"
"10","1970-71","A. Correa","22","4","","1","1","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO","campeon"
"11","1971-72","A. Correa","23","3","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO","subcampeon"
"12","1976-77","A. Correa","28","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO","subcampeon"
"13","1985-86","A. Espinoza","20","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO","campeon"
"14","1986-87","A. Espinoza","21","2","","2","0","1","0","0","0","0","0","","","",".500","",".500",".000","","1","0","","","","NO","subcampeon"
"15","1984-85","A. Hernández","30","1","","","","","","","","","","","","","","","","","","","","","","","NO","campeon"
"16","1985-86","A. Hernández","31","1","","","","","","","","","","","","","","","","","","","","","","","NO","campeon"
"17","1986-87","A. Hernández","32","1","","","","","","","","","","","","","","","","","","","","","","","NO","subcampeon"
"18","1969-70","A. Monteagudo","26","2","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO","subcampeon"
"19","1970-71","A. Monteagudo","27","4","","5","1","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO","campeon"
"20","1971-72","A. Monteagudo","28","3","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO","subcampeon"
"21","1976-77","A. Monteagudo","33","3","","","","","","","","","","","","","","","","","","","","","","","NO","subcampeon"
"22","2011-12","A. Morales","22","1","","","","","","","","","","","","","","","","","","","","","","","NO","subcampeon"
"23","2011-12","A. Ortega","26","1","","","","","","","","","","","","","","","","","","","","","","","NO","subcampeon"
"24","1966-67","A. Ortiz","21","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO","subcampeon"
"25","1984-85","A. Pedrique","24","3","","9","3","2","0","0","0","2","0","","","",".222","",".222",".000","","2","0","","","","NO","campeon"
"26","1985-86","A. Pedrique","25","7","","29","3","8","1","0","0","6","0","","","",".276","",".310",".000","","9","1","","","","NO","campeon"
"27","1986-87","A. Pedrique","26","4","","17","0","3","0","0","0","0","0","","","",".176","",".176",".000","","3","0","","","","NO","subcampeon"
"28","1966-67","A. Phillips","25","5","","20","7","12","2","0","2","7","1","","","",".600","","1.000",".000","","20","4","","","","NO","subcampeon"
