"N","Player id","Temporada","Fecha","Juego","Equipo","Posicion","Orden_bat","Jugador","AB","R","H","2B","3B","HR","RBI","BB","SO","LOB","AVE","Estadio","oponente","ronda",,
1,"sosjun001","2021-22","23/10/2021",1,"Tiburones de la Guaira","CF",1,"Junior Sosa ",4,0,0,0,0,0,0,0,3,1,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
2,"vasdan001","2021-22","23/10/2021",1,"Tiburones de la Guaira","RF",2,"Danry Vasquez ",3,0,0,0,0,0,0,1,1,0,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
3,"avilu001","2021-22","23/10/2021",1,"Tiburones de la Guaira","3B",3,"Luis Aviles Jr",4,1,1,0,0,0,0,0,1,1,0.25,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
4,"maydan001","2021-22","23/10/2021",1,"Tiburones de la Guaira","1B",4,"Daniel Mayora ",4,1,1,0,0,0,0,0,0,1,0.25,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
5,"perjai001","2021-22","23/10/2021",1,"Tiburones de la Guaira","DH",5,"Jairo Perez ",4,1,1,0,0,0,1,0,2,0,0.25,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
6,"marteo001","2021-22","23/10/2021",1,"Tiburones de la Guaira","LF",6,"Teodoro Martinez ",3,0,1,0,0,0,0,1,1,0,0.333,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
7,"hercar004","2021-22","23/10/2021",1,"Tiburones de la Guaira","2B",7,"Carlos Herrera ",4,0,1,0,0,0,1,0,1,1,0.25,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
8,"melkel001","2021-22","23/10/2021",1,"Tiburones de la Guaira","SS",8,"Kelvin Melean ",4,0,0,0,0,0,0,0,0,4,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
9,"genric001","2021-22","23/10/2021",1,"Tiburones de la Guaira","C",9,"Ricardo Genovés ",2,0,0,0,0,0,0,1,0,2,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
10,"duesam001","2021-22","23/10/2021",1,"Tiburones de la Guaira","PH",9,"Samir Dueñez ",1,0,0,0,0,0,0,0,0,2,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
11,,"2021-22","23/10/2021",1,"Caribes de Anzoategui","3B",1,"Niuman Romero ",2,2,1,0,0,1,1,2,0,0,0.5,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
12,,"2021-22","23/10/2021",1,"Caribes de Anzoategui","PH-3B",,"Roberto Chirinos ",1,1,1,1,0,0,0,0,0,0,1,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
13,,"2021-22","23/10/2021",1,"Caribes de Anzoategui","1B",2,"Tomás Telis ",5,1,2,1,0,0,2,0,1,3,0.4,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
14,,"2021-22","23/10/2021",1,"Caribes de Anzoategui","SS",3,"Luis Sardinas ",5,1,2,1,0,0,2,0,1,3,0.4,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
15,,"2021-22","23/10/2021",1,"Caribes de Anzoategui","RF",4,"Oswaldo Arcia ",2,1,0,0,0,0,0,3,0,1,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
16,,"2021-22","23/10/2021",1,"Caribes de Anzoategui","DH",5,"Balbino Fuenmayor ",4,0,1,1,0,0,2,0,2,2,0.25,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
17,,"2021-22","23/10/2021",1,"Caribes de Anzoategui","PR-DH",,"Carlos Mendoza ",1,1,0,0,0,0,0,0,0,1,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
18,,"2021-22","23/10/2021",1,"Caribes de Anzoategui","LF",6,"Eduardo Diaz ",4,0,2,0,1,0,0,0,0,2,0.5,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
19,,"2021-22","23/10/2021",1,"Caribes de Anzoategui","C",7,"Jesús Sucre ",4,0,0,0,0,0,1,0,0,4,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
20,,"2021-22","23/10/2021",1,"Caribes de Anzoategui","CF",8,"Herlis Rodriguez ",4,0,0,0,0,0,0,0,0,2,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
21,,"2021-22","23/10/2021",1,"Caribes de Anzoategui","2B",9,"Cristhian Pedroza ",3,1,1,1,0,0,0,1,0,2,0.333,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
22,"cedlor001","2021-22","24/10/2021",2,"Tiburones de la Guaira","CF",1,"Lorenzo Cedrola ",5,2,3,0,0,0,0,1,0,0,0.6,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
23,"marteo001","2021-22","24/10/2021",2,"Tiburones de la Guaira","LF",2,"Teodoro Martinez ",4,1,2,0,0,0,1,2,1,3,0.429,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
24,"vasdan001","2021-22","24/10/2021",2,"Tiburones de la Guaira","RF",3,"Danry Vasquez ",4,0,2,0,0,0,0,2,2,2,0.286,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
25,"maydan001","2021-22","24/10/2021",2,"Tiburones de la Guaira","1B",4,"Daniel Mayora ",5,0,1,0,0,0,0,1,3,11,0.222,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
26,"avilu001","2021-22","24/10/2021",2,"Tiburones de la Guaira","3B",5,"Luis Aviles Jr",6,0,2,1,0,0,4,0,2,4,0.3,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
27,"perjai001","2021-22","24/10/2021",2,"Tiburones de la Guaira","DH",6,"Jairo Perez ",4,0,1,1,0,0,0,0,1,2,0.25,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
28,"sosjun001","2021-22","24/10/2021",2,"Tiburones de la Guaira","PH-DH",6,"Junior Sosa ",2,0,1,1,0,0,0,0,0,2,0.167,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
29,"melkel001","2021-22","24/10/2021",2,"Tiburones de la Guaira","SS",7,"Kelvin Melean ",4,0,0,0,0,0,0,1,0,4,0,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
30,"hercar004","2021-22","24/10/2021",2,"Tiburones de la Guaira","2B",8,"Carlos Herrera ",4,1,0,0,0,0,0,1,1,4,0.125,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
31,"ferjua001","2021-22","24/10/2021",2,"Tiburones de la Guaira","C",9,"Juan Fernandez ",4,3,2,1,0,1,2,0,1,2,0.5,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",,
32,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","LF",1,"Carlos Mendoza ",3,2,2,2,0,0,0,2,0,2,0.5,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
33,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","3B-1B",2,"Niuman Romero ",4,0,1,0,0,0,1,1,1,3,0.333,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
34,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","SS",3,"Luis Sardinas ",3,0,0,0,0,0,2,0,0,3,0.25,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
35,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","RF",4,"Oswaldo Arcia ",4,0,0,0,0,0,0,0,1,2,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
36,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","1B",5,"Balbino Fuenmayor ",4,0,2,0,0,0,0,0,0,0,0.375,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
37,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","PR-2B",,"Cristhian Pedroza ",0,0,0,0,0,0,0,0,0,0,0.333,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
38,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","C",6,"Tomás Telis ",4,0,1,0,0,0,0,0,0,2,0.333,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
39,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","DH",7,"Jesús Sucre ",3,0,0,0,0,0,0,1,3,2,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
40,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","CF",8,"Herlis Rodriguez ",3,1,0,0,0,0,0,0,0,4,0,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
41,,"2021-22","24/10/2021",2,"Caribes de Anzoategui","2B-3B",9,"Roberto Chirinos ",4,1,2,0,0,0,0,0,0,3,0.6,"Estadio Alfonso Carrasquel","Tiburones de la Guaira","regular",,
42,,"2021-22","26/10/2021",3,"Cardenales de Lara","2B",1,"Jecksson Flores ",4,1,1,0,0,0,0,0,0,2,0.444,"Estadio Universitario","Tiburones de la Guaira","regular",,
43,,"2021-22","26/10/2021",3,"Cardenales de Lara","PH-2B",,"Yonathan Mendoza ",1,0,0,0,0,0,0,0,1,1,0,"Estadio Universitario","Tiburones de la Guaira","regular",,
44,,"2021-22","26/10/2021",3,"Cardenales de Lara","RF",2,"Yordanys Linares ",4,1,2,0,0,0,2,1,2,0,0.462,"Estadio Universitario","Tiburones de la Guaira","regular",,
45,,"2021-22","26/10/2021",3,"Cardenales de Lara","CF",3,"Gorkys Hernández ",4,2,1,0,0,0,1,1,1,2,0.273,"Estadio Universitario","Tiburones de la Guaira","regular",,
46,,"2021-22","26/10/2021",3,"Cardenales de Lara","3B",4,"Carlos Rivero ",4,1,2,2,0,0,2,0,0,0,0.308,"Estadio Universitario","Tiburones de la Guaira","regular",,
47,,"2021-22","26/10/2021",3,"Cardenales de Lara","DH",5,"Alberto Callaspo ",4,0,1,0,0,0,2,0,1,1,0.25,"Estadio Universitario","Tiburones de la Guaira","regular",,
48,,"2021-22","26/10/2021",3,"Cardenales de Lara","C",6,"Ali Sánchez ",4,0,2,0,0,0,0,0,0,1,0.231,"Estadio Universitario","Tiburones de la Guaira","regular",,
49,,"2021-22","26/10/2021",3,"Cardenales de Lara","1B",7,"Osman Marval ",4,1,1,1,0,0,0,0,0,2,0.385,"Estadio Universitario","Tiburones de la Guaira","regular",,
50,,"2021-22","26/10/2021",3,"Cardenales de Lara","LF",8,"Pedro Castellanos ",3,0,0,0,0,0,0,0,2,2,0.2,"Estadio Universitario","Tiburones de la Guaira","regular",,
