years,jugador,edad,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,avg,obp,slg,ops,ir,rc,tb,xb,hbp,sh,sf,refuerzo,ronda,resultado
2020-21,J. Sosa,30,33,133,116,24,39,6,2,1,7,3,2,17,18,.336,.421,.448,.869,122,21.9,52,9,0,0,0,NO,regular,Eliminado
2020-21,D. Mayora,35,36,140,128,21,36,9,0,6,28,1,0,12,22,.281,.343,.492,.835,112,21.6,63,15,0,0,0,NO,regular,Eliminado
2020-21,H. Meneses,29,31,115,110,20,36,5,0,1,18,3,0,5,32,.327,.357,.400,.757,93,15.7,44,6,0,0,0,NO,regular,Eliminado
2020-21,D. Vásquez,26,27,111,87,25,36,8,0,5,28,4,1,24,18,414,.541,.678,1219,210,31.9,59,13,0,0,0,NO,regular,Eliminado
2020-21,J. Martínez,32,30,114,96,21,31,8,0,1,15,1,0,18,25,.323,.430,.438,.867,123,18.1,42,9,0,0,0,NO,regular,Eliminado
2020-21,T. Martínez,28,32,117,108,11,30,7,0,0,11,0,0,9,8,.278,.333,.343,.676,73,12.3,37,7,0,0,0,NO,regular,Eliminado
2020-21,J. Pérez,32,29,105,100,14,27,6,0,2,14,3,1,5,14,.270,.305,.390,.695,77,11.9,39,8,0,0,0,NO,regular,Eliminado
2020-21,E. Duran,29,24,93,84,8,25,2,2,0,13,1,0,9,8,.298,.366,.369,.735,88,11.3,31,4,0,0,0,NO,regular,Eliminado
2020-21,L. Cedrola,22,28,74,70,13,22,3,0,0,8,4,0,4,13,.314,.351,.357,.708,82,8.8,25,3,0,0,0,NO,regular,Eliminado
2020-21,J. Torres,32,21,57,56,6,19,8,0,1,11,0,0,1,9,.339,.351,.536,.887,124,10.5,30,9,0,0,0,NO,regular,Eliminado
2020-21,M. García,20,15,59,51,10,16,3,1,0,7,0,1,8,12,.314,.407,.412,.819,110,8.6,21,4,0,0,0,NO,regular,Eliminado
2020-21,J. Galvez,29,13,46,41,5,11,2,0,0,1,0,0,5,7,.268,.348,.317,.665,71,4.5,13,2,0,0,0,NO,regular,Eliminado
2020-21,D. Infante,21,18,51,47,5,10,2,0,0,5,0,0,4,18,.213,.275,.255,.530,36,3.3,12,2,0,0,0,NO,regular,Eliminado
2020-21,K. Melean,22,15,40,38,5,10,2,0,0,8,1,0,2,6,.263,.300,.316,.616,58,3.6,12,2,0,0,0,NO,regular,Eliminado
2020-21,J. Apodaca,34,13,44,37,7,9,2,0,1,8,0,0,7,10,.243,.364,.378,.742,90,5.1,14,3,0,0,0,NO,regular,Eliminado
2020-21,C. Herrera,24,23,52,47,8,7,2,0,0,4,1,0,5,13,.149,.231,.191,.422,9,2.1,9,2,0,0,0,NO,regular,Eliminado
2020-21,A. Pérez,26,11,29,26,1,6,1,0,0,5,0,1,3,6,.231,.310,.269,.580,49,2.2,7,1,0,0,0,NO,regular,Eliminado
2020-21,E. Torrealba,21,10,18,18,1,5,1,0,0,2,0,1,0,3,.278,.278,.333,.611,56,1.7,6,1,0,0,0,NO,regular,Eliminado
2020-21,A. Álvarez,24,8,22,21,1,2,0,0,1,3,0,0,1,13,.095,.136,.238,.374,-6,0.7,5,1,0,0,0,NO,regular,Eliminado
2020-21,N. Heredia,20,7,15,13,4,1,0,0,0,0,0,0,2,6,.077,.200,.077,.277,-27,0.2,1,0,0,0,0,NO,regular,Eliminado
2020-21,Y. Garcia,19,7,5,5,1,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0.0,0,0,0,0,0,NO,regular,Eliminado
2020-21,Y.  Blandin,20,3,2,1,1,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,37,0.0,0,0,0,0,0,NO,regular,Eliminado
2019-20,L. Reginatto,29,41,173,157,25,53,13,2,1,22,5,2,16,24,0.34,399,465,864,133,29.1,73,16,0,0,0,NO,regular,Eliminado
2019-20,A. González,36,40,176,159,26,52,9,1,0,23,2,1,17,8,0.33,392,396,788,113,24.7,63,10,0,0,0,NO,regular,Eliminado
2019-20,D. Vázquez,25,34,151,136,27,50,5,1,5,24,7,3,15,9,0.37,0.43,529,0.96,158,30.9,72,11,0,0,0,NO,regular,Eliminado
2019-20,J. Sosa,29,41,190,162,28,48,7,1,0,14,10,6,28,24,0.3,0.4,352,752,104,22.8,57,8,0,0,0,NO,regular,Eliminado
2019-20,E. Duran,28,41,174,153,25,38,7,3,5,32,3,0,21,29,0.25,339,431,0.77,107,22.4,66,15,0,0,0,NO,regular,Eliminado
2019-20,H. Meneses,28,42,156,142,22,34,4,0,1,15,3,3,14,37,0.24,308,289,596,62,12.6,41,5,0,0,0,NO,regular,Eliminado
2019-20,J. Apodaca,33,23,88,83,12,33,2,0,2,15,0,0,5,14,0.4,432,494,926,150,17.7,41,4,0,0,0,NO,regular,Eliminado
2019-20,L. Bandes,23,29,92,86,15,30,6,0,2,15,0,0,6,16,0.35,391,488,0.88,137,16.4,42,8,0,0,0,NO,regular,Eliminado
2019-20,O. Carrizales,24,33,96,87,16,28,2,0,2,9,4,0,9,13,0.32,385,414,799,116,13.9,36,4,0,0,0,NO,regular,Eliminado
2019-20,L. Villegas,27,20,69,64,5,20,3,0,1,14,1,0,5,12,0.31,362,406,769,107,9.4,26,4,0,0,0,NO,regular,Eliminado
2019-20,T. Martínez,27,31,92,87,8,18,4,0,0,4,2,1,5,6,0.21,0.25,253,503,36,5.5,22,4,0,0,0,NO,regular,Eliminado
2019-20,G. Andrade,22,28,43,42,7,16,3,0,1,7,1,0,1,11,0.38,395,524,919,147,8.7,22,4,0,0,0,NO,regular,Eliminado
2019-20,H. Sánchez,30,19,69,62,7,16,2,0,1,8,0,0,7,10,0.26,333,339,672,82,7,21,3,0,0,0,NO,regular,Eliminado
2019-20,S. Dueñez,23,11,33,32,2,7,0,0,0,5,0,0,1,6,0.22,242,219,461,25,1.7,7,0,0,0,0,NO,regular,Eliminado
2019-20,J. Tromp,26,9,32,32,2,7,1,1,0,2,0,0,0,8,0.22,219,313,531,43,2.2,10,2,0,0,0,NO,regular,Eliminado
2019-20,A. Alvarez,22,3,3,3,1,1,0,0,0,0,0,0,0,0,0.33,333,333,667,80,0.3,1,0,0,0,0,NO,regular,Eliminado
2019-20,J. Graterol,22,4,4,3,1,0,0,0,0,0,0,0,1,3,0,0.25,0,0.25,-29,0,0,0,0,0,0,NO,regular,Eliminado
2019-20,A. Nelo,19,2,5,4,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0.2,-43,0,0,0,0,0,0,NO,regular,Eliminado
2018-19,E. Duran,27,59,249,218,31,63,10,0,1,20,6,1,23,24,0.29,366,349,714,101,27.8,76,11,4,3,1,NO,regular,Eliminado
2018-19,Y. Asencio,29,39,158,153,20,48,7,0,2,17,6,3,4,19,0.31,329,399,728,103,20.1,61,9,0,0,1,NO,regular,Eliminado
2018-19,H. Sánchez,29,50,200,179,16,46,9,1,2,18,1,0,21,39,0.26,335,352,687,92,21.1,63,12,0,0,0,NO,regular,Eliminado
2018-19,T. Martínez,26,52,188,171,17,41,6,1,1,18,3,4,13,13,0.24,303,304,607,70,15.8,52,8,3,0,1,NO,regular,Eliminado
2018-19,H. Meneses,27,48,186,171,19,41,8,1,0,14,5,3,9,35,0.24,292,298,0.59,65,14.9,51,9,4,1,1,NO,regular,Eliminado
2018-19,J. Martínez,30,31,131,112,13,40,6,0,2,16,1,1,17,14,0.36,443,464,907,154,23,52,8,1,0,1,NO,regular,Eliminado
2018-19,J. Apodaca,32,34,126,107,9,35,4,0,1,17,0,0,17,19,0.33,429,393,821,131,18,42,5,2,0,0,NO,regular,Eliminado
2018-19,L. Mendez,25,35,110,96,15,25,3,0,1,7,4,3,9,28,0.26,343,323,666,87,10.6,31,4,3,2,0,NO,regular,Eliminado
2018-19,Y. Daza,24,24,98,93,14,25,6,0,0,7,2,2,3,12,0.27,289,333,622,74,9,31,6,0,1,1,NO,regular,Eliminado
2018-19,A. Concepcion,23,29,83,78,9,23,7,0,1,7,1,2,5,18,0.3,337,423,0.76,112,11.1,33,8,0,0,0,NO,regular,Eliminado
2018-19,D. Navarro,34,22,82,74,5,21,4,0,2,10,0,0,6,14,0.28,329,419,748,108,10.2,31,6,0,0,2,NO,regular,Eliminado
2018-19,M. Rojas,29,15,63,58,8,20,3,0,0,7,2,0,4,7,0.35,387,397,784,120,8.9,23,3,0,1,0,NO,regular,Eliminado
2018-19,G. Arias,18,24,66,59,6,15,2,0,0,0,2,0,6,15,0.25,323,288,611,72,5.5,17,2,0,1,0,NO,regular,Eliminado
2018-19,S. Dueñez,22,17,62,58,4,13,2,1,2,6,1,0,3,7,0.22,258,397,655,82,5.9,23,5,0,0,1,NO,regular,Eliminado
2018-19,J. Rodríguez,22,25,53,47,3,12,2,0,0,8,1,2,5,9,0.26,321,298,619,74,4.5,14,2,0,0,1,NO,regular,Eliminado
2018-19,G. Blanco,35,14,59,49,4,12,2,1,0,8,1,3,10,10,0.25,373,327,699,97,6,16,3,0,0,0,NO,regular,Eliminado
2018-19,A. Pérez,24,15,48,44,7,10,2,0,0,9,0,1,1,7,0.23,234,273,507,42,2.8,12,2,0,1,2,NO,regular,Eliminado
2018-19,OZ. Guillén,26,23,46,45,4,8,3,0,0,3,0,1,1,7,0.18,196,244,0.44,23,2.2,11,3,0,0,0,NO,regular,Eliminado
2018-19,J. Sosa,28,17,55,46,5,8,1,0,0,1,1,1,7,7,0.17,296,196,492,40,2.7,9,1,1,1,0,NO,regular,Eliminado
2018-19,C. Herrera,22,18,35,31,3,7,0,0,0,4,1,1,2,12,0.23,265,226,491,38,1.9,7,0,0,1,1,NO,regular,Eliminado
2018-19,O. Carrizales,23,17,48,39,3,7,1,0,0,3,2,1,6,15,0.18,313,205,518,47,2.5,8,1,2,0,1,NO,regular,Eliminado
2018-19,A. González,35,10,38,32,5,6,2,0,0,3,0,1,4,3,0.19,316,0.25,566,60,2.5,8,2,2,0,0,NO,regular,Eliminado
2018-19,L. Villegas,26,9,29,26,0,3,0,0,0,1,0,0,2,1,0.12,172,115,288,-19,0.5,3,0,0,0,1,NO,regular,Eliminado
2018-19,J. Duarte,33,6,12,11,2,3,1,0,0,4,0,0,1,1,0.27,333,364,697,95,1.3,4,1,0,0,0,NO,regular,Eliminado
2018-19,J. González,24,3,9,9,1,3,0,1,0,1,0,0,0,0,0.33,333,556,889,146,1.7,5,1,0,0,0,NO,regular,Eliminado
2018-19,W. Garcia,26,2,5,5,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,12,0.2,1,0,0,0,0,NO,regular,Eliminado
2018-19,A. Nuñez,37,3,7,6,1,0,0,0,0,0,0,0,1,3,0,143,0,143,-58,0,0,0,0,0,0,NO,regular,Eliminado
2017-18,J. Castillo,36,52,211,189,20,57,8,1,1,30,2,0,16,30,0.3,357,0.37,728,96,25,70,10,2,1,3,NO,regular,Eliminado
2017-18,O. Carrizales,22,54,231,197,36,54,2,3,0,10,7,3,28,36,0.27,373,315,688,87,23.1,62,5,3,3,0,NO,regular,Eliminado
2017-18,T. Martínez,25,55,205,187,27,53,10,1,1,16,5,2,9,15,0.28,315,364,679,83,21.4,68,12,2,2,5,NO,regular,Eliminado
2017-18,H. Meneses,26,54,210,184,18,52,7,3,1,24,5,5,20,32,0.28,356,0.37,725,96,24.2,68,11,2,2,2,NO,regular,Eliminado
2017-18,A. Pérez,23,38,131,127,14,41,4,0,1,17,0,2,3,9,0.32,338,378,716,93,16.2,48,5,0,1,0,NO,regular,Eliminado
2017-18,D. Vázquez,23,50,195,156,20,39,11,1,1,16,0,5,34,36,0.25,395,353,747,102,21.8,55,13,4,0,1,NO,regular,Eliminado
2017-18,A. Harris,28,33,127,117,19,37,12,3,1,7,5,1,8,18,0.32,365,496,861,131,21.2,58,16,1,1,0,NO,regular,Eliminado
2017-18,I. Tejeda,26,27,113,104,15,37,9,1,3,17,1,1,7,14,0.36,398,548,946,153,22.7,57,13,1,0,1,NO,regular,Eliminado
2017-18,N. Orf,27,29,123,98,13,33,1,0,0,10,3,1,14,15,0.34,451,347,798,117,15.3,34,1,8,1,2,NO,regular,Eliminado
2017-18,OZ. Guillén,25,35,119,104,11,29,5,1,0,12,4,2,10,9,0.28,336,346,682,84,12.1,36,6,0,3,2,NO,regular,Eliminado
