years,jugador,edad,g,ab,X5,r,h,2b,3b,hr,rbi,sb,cs,bb,so,avg,obp,slg,ops,rc,tb,xb,hbp,sh,sf,refuerzo
2015-16,Y. Sánchez,23,5,23,21,5,9,1,0,3,10,1,0,1,4,429,435,905,1.34,8.3,19,4,0,0,1,NO
2014-15,Y. Sánchez,22,7,33,32,5,8,0,0,2,3,1,0,1,7,0.25,273,438,0.71,3.8,14,2,0,0,0,NO
2013-14,Y. Sánchez,21,11,53,47,11,9,4,0,0,6,1,0,4,5,191,264,277,541,3.4,13,4,1,0,1,NO
2015-16,Y. Daza,21,2,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,NO
2016-17,Y. Daza,22,9,22,22,3,9,2,0,0,3,0,0,0,4,409,409,0.5,909,4.5,11,2,0,0,0,NO
2014-15,Y. Daza,20,7,29,24,2,4,2,0,0,1,0,0,1,7,167,231,0.25,481,1.4,6,2,1,3,0,NO
2009-10,W. Romero,35,14,59,49,10,13,0,0,2,7,4,2,10,7,265,0.39,388,778,7.4,19,2,0,0,0,NO
2008-09,W. Romero,34,17,80,72,10,24,5,1,0,9,3,0,6,8,333,385,431,815,11.9,31,6,0,2,0,NO
2000-01,W. Oropeza,25,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,NO
1981-82,W. Krenchicki,27,2,,8,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,NO
1980-81,W. Krenchicki,26,6,,20,5,8,1,0,1,6,0,,,,0.4,,0.6,0,,12,2,,,,NO
1979-80,W. Krenchicki,25,7,,24,2,7,1,1,0,1,0,,,,292,,417,0,,10,2,,,,NO
2009-10,W. González,35,10,35,31,4,12,2,0,1,6,0,0,1,4,387,429,548,977,7.3,17,3,2,0,1,NO
2003-04,W. González,29,14,,49,7,17,4,0,3,8,0,,,,347,,612,0,,30,7,,,,NO
2014-15,W. Giménez,24,2,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
2003-04,V. Valencia,26,3,,9,1,3,0,0,0,0,0,,,,333,,333,0,,3,0,,,,NO
2000-01,V. Valencia,23,12,,36,0,6,0,0,0,0,0,,,,167,,167,0,,6,0,,,,NO
2007-08,V. Hernández,22,1,4,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,0.3,1,0,0,0,0,NO
1969-70,V. Davalillo,33,4,,15,1,4,0,0,0,0,0,,,,267,,267,0,,4,0,,,,SI
1977-78,V. Colina,32,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,NO
1980-81,V. Colina,35,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,NO
1976-77,V. Colina,31,1,,3,1,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,NO
1979-80,V. Colina,34,2,,5,1,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,NO
2009-10,V. Castillo,25,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NO
2003-04,T. Wilson,26,16,,57,9,12,2,0,2,8,0,,,,211,,351,0,,20,4,,,,NO
1989-90,T. Trafton,25,9,,30,2,8,0,0,2,6,0,,,,267,,467,0,,14,2,,,,NO
2000-01,T. Nunnari,25,16,,56,5,16,4,0,3,12,0,,,,286,,518,0,,29,7,,,,NO
1977-78,T. McMillan,26,6,,17,0,6,0,1,0,1,0,,,,353,,471,0,,8,1,,,,NO
1981-82,T. Harper,26,4,,12,2,3,0,0,0,0,0,,,,0.25,,0.25,0,,3,0,,,,NO
1966-67,T. Curry,29,6,,26,5,7,1,0,1,2,0,,,,269,,423,0,,11,2,,,,NO
1976-77,S. Patchin,0,4,,16,5,8,1,0,0,3,0,,,,0.5,,563,0,,9,1,,,,NO
1989-90,S. Little,26,1,,3,0,1,0,0,0,0,1,,,,333,,333,0,,1,0,,,,NO
1974-75,S. Jackson,0,1,,4,0,2,0,0,0,0,0,,,,0.5,,0.5,0,,2,0,,,,NO
