"Juego","Temporada","Fecha","Hora","T_1","T_2","T_3","T_4","T_5","T_6","T_7","T_8","T_9","t_10","T_C","T_H","T_E","O_1","O_2","O_3","O_4","O_5","O_6","O_7","O_8","O_9","O_10","O_C","O_H","O_E","Visitante Equipo","Home Club equipo","Stadium","Horario","Publico"
1,"2021-22","10/23/2021","18:16:00",0,0,0,0,0,0,0,0,3,,3,5,1,0,0,1,0,0,0,6,1,"x",,8,10,1,"Tiburones de La Guaira","Caribes de Anzoategui","Estadio Alfonso Carrasquel","Noche","3,059"
2,"2021-22","10/24/2021","18:11:00",0,0,0,0,2,1,2,0,2,,7,14,1,0,0,2,0,1,0,1,0,0,,4,8,2,"Tiburones de La Guaira","Caribes de Anzoategui","Estadio Alfonso Carrasquel","Noche","2,223"
3,"2021-22","10/26/2021","18:09:00",0,0,0,0,0,0,0,0,0,,4,1,0,2,0,0,0,0,2,0,3,2,,9,14,0,"Cardenales de Lara","Tiburones de La Guaira","Estadio Universitario","Noche","1,075"
4,"2021-22","10/28/2021","18:10:00",0,0,0,1,1,0,0,0,1,,3,9,0,1,0,0,2,0,1,0,0,"x",,4,11,2,"Tiburones de La Guaira","Navegantes del Magallanes","Estadio Jose Bernardo Perez","Noche","2,667"
5,"2021-22","10/29/2021","18:09:00",2,1,0,0,1,0,0,0,1,,5,12,2,1,0,0,0,0,0,2,9,0,,12,15,1,"Bravos de Margarita","Tiburones de La Guaira","Estadio Forum de La Guaira","Noche","2,285"
6,"2021-22","10/30/2021","14:06:00",1,0,0,0,0,0,0,0,"x",,1,9,0,0,0,0,0,0,0,0,0,0,,0,5,0,"Bravos de Margarita","Tiburones de La Guaira","Estadio Forum de La Guaira","Dia","1,859"
7,"2021-22","10/31/2021","13:03:00",0,0,2,0,0,4,3,0,"x",,9,12,0,0,2,0,0,0,1,0,0,1,,4,12,2,"Aguilas del Zulia","Tiburones de La Guaira","Estadio Universitario","Dia",
8,"2021-22","2/11/2021","18:06:00",1,0,2,0,1,0,1,0,"x",,5,10,1,0,0,0,0,1,0,0,0,0,,1,6,0,"Navegantes del Magallanes","Tiburones de La Guaira","Estadio Universitario","Noche","1,628"
9,"2021-22","3/11/2021","18:09:00",0,1,0,0,0,0,0,0,0,,1,5,3,1,0,3,0,0,0,0,0,1,,5,8,0,"Cardenales de Lara","Tiburones de La Guaira","Estadio Universitario","Noche","1,059"
10,"2021-22","4/11/2021","18:04:00",0,0,0,1,0,0,0,2,2,,5,12,0,0,0,0,0,0,0,2,1,1,,4,13,1,"Cardenales de Lara","Tiburones de La Guaira","Estadio Universitario","Noche","1,076"
