"","years","jugador","edad","w","l","w-l%","era","g","gs","cg","sho","sv","ip","h","r","er","hr","bb","so","whip","h/9","hr/9","bb/9","so/9","so/bb","bk","refuerzo","resultado"
"1","1964-65","K. Sanders","23","2","0","1.0000","1.42","4","2","0","","0","12.2","10","","2","","3","13","1.026","7.11","","2.13","9.24","4.3333","","SI","campeon"
"2","1964-65","D. Knowles","23","0","1","0.0000","9.95","2","1","0","","0","6.1","11","","7","","3","6","2.211","15.63","","4.26","8.53","2.0000","","NO","campeon"
"3","1964-65","G. Kroll","23","1","0","1.0000","8.53","1","1","0","","0","6.1","8","","6","","3","5","1.737","11.37","","4.26","7.11","1.6667","","NO","campeon"
"4","1964-65","N. Chávez","17","0","0","","2.70","3","0","0","","1","10.0","9","","3","","1","4","1.000","8.10","","0.90","3.60","4.0000","","SI","campeon"
"5","1964-65","C. Carroll","23","1","0","1.0000","7.20","1","0","0","","0","5.0","10","","4","","2","1","2.400","18.00","","3.60","1.80","0.5000","","NO","campeon"
"6","1964-65","J. Campos","24","0","0","","0.00","1","0","0","","0","1.0","1","","0","","1","1","2.000","9.00","","9.00","9.00","1.0000","","NO","campeon"
"7","1964-65","J. Quintana","18","0","0","","","1","0","0","","0","0.0","4","","4","","0","0","","","","","","","","NO","campeon"
"8","1964-65","H. Brito","18","0","0","","0.00","1","0","0","","0","1.0","2","","0","","0","0","2.000","18.00","","0.00","0.00","","","NO","campeon"
"9","1965-66","R. Gómez","38","2","0","1.0000","0.00","3","0","0","","1","10.0","3","","0","","2","12","0.500","2.70","","1.80","10.80","6.0000","","SI","campeon"
"10","1965-66","M. López","22","1","0","1.0000","1.00","1","1","1","","0","9.0","4","","1","","3","4","0.778","4.00","","3.00","4.00","1.3333","","NO","campeon"
"11","1965-66","A. Monteagudo","22","1","0","1.0000","1.69","3","2","0","","0","16.0","16","","3","","4","3","1.250","9.00","","2.25","1.69","0.7500","","SI","campeon"
"12","1965-66","M. Dominguez","0","0","0","","4.50","1","1","0","","0","4.0","6","","2","","0","0","1.500","13.50","","0.00","0.00","","","NO","campeon"
"13","1965-66","B. Brandon","25","0","1","0.0000","4.91","1","1","0","","0","3.2","6","","2","","2","0","2.182","14.73","","4.91","0.00","0.0000","","NO","campeon"
"14","1965-66","J. Bracho","37","0","1","0.0000","54.00","1","0","0","","0","0.1","3","","2","","0","0","9.000","81.00","","0.00","0.00","","","NO","campeon"
"15","1966-67","R. Muñoz","25","2","0","1.0000","3.60","3","2","1","","0","15.0","15","","6","","3","15","1.200","9.00","","1.80","9.00","5.0000","","SI","subcampeon"
"16","1966-67","N. Chávez","19","0","0","","3.68","2","1","0","","0","7.1","11","","3","","1","9","1.636","13.50","","1.23","11.05","9.0000","","SI","subcampeon"
"17","1966-67","G. Brabender","25","0","2","0.0000","5.91","4","2","0","","1","10.2","14","","7","","6","7","1.875","11.81","","5.06","5.91","1.1667","","NO","subcampeon"
"18","1966-67","G. Parra","23","0","1","0.0000","3.86","2","0","0","","0","4.2","4","","2","","2","4","1.286","7.71","","3.86","7.71","2.0000","","SI","subcampeon"
"19","1966-67","J. Tsitouris","30","0","0","","3.00","1","1","0","","0","3.0","3","","1","","1","3","1.333","9.00","","3.00","9.00","3.0000","","NO","subcampeon"
"20","1966-67","J. Quintana","20","0","0","","0.00","1","0","0","","0","0.2","1","","0","","0","0","1.500","13.50","","0.00","0.00","","","NO","subcampeon"
"21","1966-67","B. Faul","26","0","0","","32.40","4","0","0","","0","1.2","9","","6","","3","0","7.200","48.60","","16.20","0.00","0.0000","","NO","subcampeon"
"22","1968-69","R. Nye","24","2","1","0.6667","0.44","3","2","2","","0","20.1","15","","1","","2","12","0.836","6.64","","0.89","5.31","6.0000","","NO","campeon"
"23","1968-69","J. Nyman","26","2","0","1.0000","1.53","3","3","1","","0","17.2","15","","3","","4","11","1.075","7.64","","2.04","5.60","2.7500","","NO","campeon"
"24","1968-69","A. Monteagudo","25","0","1","0.0000","2.25","2","1","0","","0","8.0","6","","2","","3","9","1.125","6.75","","3.38","10.13","3.0000","","NO","campeon"
"25","1968-69","P. Torrealba","20","2","0","1.0000","0.00","5","0","0","","0","8.0","10","","0","","3","8","1.625","11.25","","3.38","9.00","2.6667","","SI","campeon"
"26","1968-69","R. Fingers","22","0","1","0.0000","3.86","5","3","0","","1","21.0","29","","9","","7","5","1.714","12.43","","3.00","2.14","0.7143","","NO","campeon"
"27","1968-69","H. Brito","22","0","1","0.0000","2.25","1","0","0","","0","4.0","3","","1","","2","1","1.250","6.75","","4.50","2.25","0.5000","","NO","campeon"
"28","1968-69","C. Moreno","21","0","0","","0.00","1","0","0","","0","1.0","3","","0","","1","0","4.000","27.00","","9.00","0.00","0.0000","","NO","campeon"
"29","1968-69","H. Urbano","27","0","0","","","1","0","0","","0","0.0","0","","0","","1","0","","","","","","0.0000","","NO","campeon"
"30","1969-70","L. Jaster","25","0","1","0.0000","1.12","1","1","1","","0","8.0","6","","1","","1","5","0.875","6.75","","1.12","5.62","5.0000","","NO","subcampeon"
"31","1969-70","M. López","26","0","1","0.0000","1.80","1","1","0","","0","5.0","8","","1","","5","2","2.600","14.40","","9.00","3.60","0.4000","","NO","subcampeon"
"32","1969-70","M. Hedlund","23","0","1","0.0000","5.14","2","1","0","","0","7.0","9","","4","","1","1","1.429","11.57","","1.29","1.29","1.0000","","NO","subcampeon"
"33","1969-70","R. Nye","25","0","0","","0.00","1","0","0","","0","3.0","2","","0","","1","1","1.000","6.00","","3.00","3.00","1.0000","","NO","subcampeon"
"34","1969-70","A. Monteagudo","26","0","0","","0.00","2","0","0","","0","3.0","0","","0","","0","1","0.000","0.00","","0.00","3.00","","","NO","subcampeon"
"35","1970-71","A. Monteagudo","27","2","0","1.0000","1.69","4","2","0","","0","16.0","17","","3","","6","14","1.437","9.56","","3.38","7.87","2.3333","","NO","campeon"
"36","1970-71","O. Pena","37","1","1","0.5000","2.19","5","0","0","","2","12.1","7","","3","","0","9","0.568","5.11","","0.00","6.57","","","NO","campeon"
"37","1970-71","L. Gura","23","1","1","0.5000","4.97","2","2","0","","0","12.2","21","","7","","3","6","1.895","14.92","","2.13","4.26","2.0000","","NO","campeon"
"38","1970-71","J. Cram","23","0","1","0.0000","2.35","2","2","1","","0","15.1","18","","4","","5","5","1.500","10.57","","2.93","2.93","1.0000","","NO","campeon"
"39","1970-71","S. Barber","22","0","0","","3.86","1","1","0","","0","7.0","5","","3","","2","3","1.000","6.43","","2.57","3.86","1.5000","","NO","campeon"
"40","1971-72","J. Rooker","29","2","1","0.6667","1.00","3","3","3","","0","27.0","21","","3","","4","21","0.926","7.00","","1.33","7.00","5.2500","","NO","subcampeon"
"41","1971-72","L. Tiant","31","0","1","0.0000","6.43","1","1","0","","0","7.0","8","","5","","3","8","1.571","10.29","","3.86","10.29","2.6667","","NO","subcampeon"
"42","1971-72","R. Gardner","27","1","1","0.5000","1.72","2","2","0","","0","15.2","16","","3","","5","5","1.340","9.19","","2.87","2.87","1.0000","","NO","subcampeon"
"43","1971-72","P. Hamm","24","0","0","","4.26","3","1","0","","0","6.1","9","","3","","1","3","1.579","12.79","","1.42","4.26","3.0000","","SI","subcampeon"
"44","1971-72","V. Patino","21","0","0","","0.00","1","0","0","","0","0.2","0","","0","","0","1","0.000","0.00","","0.00","13.50","","","NO","subcampeon"
"45","1971-72","A. Monteagudo","28","0","0","","0.00","3","0","0","","1","4.0","3","","0","","0","1","0.750","6.75","","0.00","2.25","","","NO","subcampeon"
"46","1971-72","O. Pena","38","0","1","0.0000","21.60","1","0","0","","0","1.2","5","","4","","3","1","4.800","27.00","","16.20","5.40","0.3333","","NO","subcampeon"
"47","1976-77","M. Kekich","31","1","1","0.5000","1.76","4","2","0","","0","15.1","12","","3","","5","12","1.109","7.04","","2.93","7.04","2.4000","","NO","subcampeon"
"48","1976-77","B. Johnson","33","1","0","1.0000","4.15","4","0","0","","0","8.2","7","","4","","9","5","1.846","7.27","","9.35","5.19","0.5556","","NO","subcampeon"
"49","1976-77","L. Gura","29","0","1","0.0000","7.45","3","2","0","","0","9.2","14","","8","","1","3","1.552","13.03","","0.93","2.79","3.0000","","NO","subcampeon"
