player_id,years,jugador,edad,w,l,w-l%,era,g,gs,cg,sho,sv,ip,h,r,er,hr,bb,so,ir,whip,h/9,hr/9,bb/9,so/9,so/bb,bk,refuerzo ,ronda,resultado
acealfre001,2014-15,A. Aceves,32,0,1,0,4.91,5,0,0,0,2,3.2,1,2,2,1,2,3,,818,2.45,2.45,4.91,7.36,1.5,0,NO,round robin,
alvale002,1995-96,A. Álvarez,25,0,0,,27,1,0,0,,0,2,6,,6,,1,1,11,3500,27,,4.5,4.5,1000,,NO,regular,
alvale002,1994-95,A. Álvarez,24,4,2,667,4.85,26,2,0,,0,42.2,45,,23,,30,17,69,1758,9.49,,6.33,3.59,570,,NO,regular,
alvale002,1993-94,A. Álvarez,23,3,0,1000,3.62,14,1,0,,1,27.1,19,,11,,21,11,96,1463,6.26,,6.91,3.62,520,,NO,regular,
alvale002,1992-93,A. Álvarez,22,2,0,1000,2.45,20,0,0,,3,25.2,26,,7,,12,9,137,1481,9.12,,4.21,3.16,750,,NO,regular,
alvale002,1991-92,A. Álvarez,21,0,0,,2.7,2,0,0,,0,3.1,2,,1,,3,0,117,1500,5.4,,8.1,0,0,,NO,regular,
alvale002,1990-91,A. Álvarez,20,0,0,,8.59,6,0,0,,0,7.1,9,,7,,3,4,41,1636,11.05,,3.68,4.91,1330,,NO,regular,
alvale002,1989-90,A. Álvarez,19,1,0,1000,3.5,9,1,0,,0,18,17,,7,,10,9,103,1500,8.5,,5,4.5,900,,NO,regular,
alvale002,1989-90,A. Álvarez,19,0,1,0,0,2,0,0,,0,2.2,1,,0,,1,2,,0.75,3.38,,3.38,6.75,2,,NO,round robin,
basalb001,2011-12,A. Bastardo,27,0,0,,0,3,0,0,0,0,1.2,0,0,0,0,1,1,,0.6,0,0,5.4,5.4,1,0,NO,finales,Subcampeon
basalb001,2013-14,A. Bastardo,29,0,0,,16.2,8,0,0,0,0,3.1,6,6,6,1,3,4,29,2700,16.2,2.7,8.1,10.8,1330,0,NO,regular,
