"","years","edad","w","l","w-l%","era","g","gs","cg","sho","sv","ip","h","r","er","hr","bb","so","whip","h/9","hr/9","bb/9","so/9","so/bb","bk","refuerzo"
"1","1972-73","30","1","1","0.5000","1.04","2","2","2","","0","17.1","11","","2","","0","12","0.635","5.71","","0.00","6.23","","","NO"
"2","1972-73","32","1","1","0.5000","5.40","2","2","1","","0","15.0","19","","9","","1","4","1.333","11.40","","0.60","2.40","4.0000","","NO"
"3","1972-73","25","0","2","0.0000","14.29","2","2","0","","0","5.2","12","","9","","2","3","2.471","19.06","","3.18","4.76","1.5000","","SI"
"4","1972-73","38","0","0","","2.70","3","0","0","","0","3.1","3","","1","","1","2","1.200","8.10","","2.70","5.40","2.0000","","NO"
"5","1972-73","26","0","0","","0.00","2","0","0","","0","1.1","1","","0","","2","1","2.250","6.75","","13.50","6.75","0.5000","","NO"
"6","1972-73","26","0","0","","2.25","1","0","0","","0","4.0","5","","1","","0","1","1.250","11.25","","0.00","2.25","","","NO"
"7","1972-73","25","0","0","","16.20","2","0","0","","0","1.2","3","","3","","1","0","2.400","16.20","","5.40","0.00","0.0000","","NO"
"8","1972-73","26","0","0","","0.00","3","0","0","","0","2.1","2","","0","","0","0","0.857","7.71","","0.00","0.00","","","NO"
"9","1972-73","31","0","0","","0.00","1","0","0","","0","1.0","0","","0","","0","0","0.000","0.00","","0.00","0.00","","","NO"
"10","1972-73","0","0","0","","","1","0","0","","0","0.0","1","","0","","1","0","","","","","","0.0000","","NO"
"11","1974-75","27","0","1","0.0000","4.70","1","1","0","","0","7.2","8","","4","","5","9","1.696","9.39","","5.87","10.57","1.8000","","NO"
"12","1974-75","28","0","2","0.0000","4.96","2","2","1","","0","16.1","12","","9","","12","7","1.469","6.61","","6.61","3.86","0.5833","","NO"
"13","1974-75","24","0","0","","5.40","2","0","0","","0","3.1","3","","2","","2","4","1.500","8.10","","5.40","10.80","2.0000","","NO"
"14","1974-75","23","0","1","0.0000","3.38","1","1","0","","0","5.1","5","","2","","2","2","1.313","8.44","","3.38","3.38","1.0000","","NO"
"15","1977-78","23","0","1","0.0000","9.00","2","2","0","","0","5.0","9","","5","","8","7","3.400","16.20","","14.40","12.60","0.8750","","NO"
"16","1977-78","27","1","1","0.5000","5.14","3","0","0","","0","7.0","5","","4","","6","6","1.571","6.43","","7.71","7.71","1.0000","","NO"
"17","1977-78","0","0","0","","1.42","1","1","0","","0","6.1","8","","1","","2","5","1.579","11.37","","2.84","7.11","2.5000","","NO"
"18","1977-78","29","0","0","","0.00","2","0","0","","0","4.1","1","","0","","4","4","1.154","2.08","","8.31","8.31","1.0000","","NO"
"19","1977-78","34","1","0","1.0000","1.86","5","0","0","","0","9.2","6","","2","","3","4","0.931","5.59","","2.79","3.72","1.3333","","NO"
"20","1977-78","26","0","1","0.0000","7.71","2","2","0","","0","7.0","6","","6","","5","2","1.571","7.71","","6.43","2.57","0.4000","","NO"
"21","1977-78","22","0","0","","5.40","2","1","0","","0","6.2","9","","4","","4","2","1.950","12.15","","5.40","2.70","0.5000","","NO"
"22","1977-78","0","0","0","","9.00","1","0","0","","0","3.0","3","","3","","2","1","1.667","9.00","","6.00","3.00","0.5000","","NO"
"23","1977-78","22","0","0","","81.00","2","0","0","","0","0.1","1","","3","","2","1","9.000","27.00","","54.00","27.00","0.5000","","NO"
"24","1977-78","31","0","0","","","1","0","0","","0","0.0","1","","1","","2","0","","","","","","0.0000","","NO"
"25","1979-80","25","1","1","0.5000","1.20","2","2","1","","0","15.0","11","","2","","5","15","1.067","6.60","","3.00","9.00","3.0000","","NO"
"26","1979-80","26","0","1","0.0000","4.09","2","2","0","","0","11.0","18","","5","","4","10","2.000","14.73","","3.27","8.18","2.5000","","NO"
"27","1979-80","25","1","2","0.3333","5.25","3","2","0","","0","12.0","15","","7","","4","8","1.583","11.25","","3.00","6.00","2.0000","","NO"
"28","1979-80","27","0","0","","0.00","3","0","0","","1","9.2","7","","0","","2","5","0.931","6.52","","1.86","4.66","2.5000","","NO"
"29","1979-80","24","0","0","","0.00","3","0","0","","0","4.0","4","","0","","4","4","2.000","9.00","","9.00","9.00","1.0000","","NO"
"30","1979-80","25","1","0","1.0000","0.00","1","1","0","","0","5.0","4","","0","","0","2","0.800","7.20","","0.00","3.60","","","NO"
"31","1979-80","26","0","0","","0.00","1","0","0","","0","1.1","0","","0","","0","2","0.000","0.00","","0.00","13.50","","","NO"
"32","1980-81","26","1","0","1.0000","0.00","3","0","0","","1","5.2","4","","0","","2","7","1.059","6.35","","3.18","11.12","3.5000","","NO"
"33","1980-81","27","0","0","","1.42","3","0","0","","1","6.1","7","","1","","1","7","1.263","9.95","","1.42","9.95","7.0000","","NO"
"34","1980-81","26","0","1","0.0000","7.94","1","1","0","","0","5.2","8","","5","","3","7","1.941","12.71","","4.76","11.12","2.3333","","NO"
"35","1980-81","23","1","0","1.0000","5.40","3","0","0","","0","5.0","7","","3","","1","5","1.600","12.60","","1.80","9.00","5.0000","","NO"
"36","1980-81","27","0","2","0.0000","5.23","2","2","0","","0","10.1","13","","6","","3","5","1.548","11.32","","2.61","4.35","1.6667","","NO"
"37","1980-81","27","0","0","","3.00","3","0","0","","0","3.0","8","","1","","1","4","3.000","24.00","","3.00","12.00","4.0000","","NO"
"38","1980-81","27","0","0","","4.50","1","1","0","","0","2.0","6","","1","","0","2","3.000","27.00","","0.00","9.00","","","NO"
"39","1980-81","26","0","0","","2.70","1","1","0","","0","3.1","5","","1","","2","1","2.100","13.50","","5.40","2.70","0.5000","","NO"
"40","1980-81","25","0","0","","0.00","1","0","0","","0","1.0","0","","0","","2","1","2.000","0.00","","18.00","9.00","0.5000","","NO"
"41","1981-82","21","0","1","0.0000","6.23","1","1","0","","0","4.1","5","","3","","2","4","1.615","10.38","","4.15","8.31","2.0000","","NO"
"42","1981-82","27","0","0","","7.71","3","0","0","","0","2.1","5","","2","","2","4","3.000","19.29","","7.71","15.43","2.0000","","NO"
"43","1981-82","27","0","1","0.0000","3.52","1","1","0","","0","7.2","10","","3","","4","3","1.826","11.74","","4.70","3.52","0.7500","","NO"
"44","1981-82","28","0","0","","9.00","1","0","0","","0","2.0","4","","2","","1","2","2.500","18.00","","4.50","9.00","2.0000","","NO"
"45","1981-82","28","0","1","0.0000","9.00","1","1","0","","0","3.0","5","","3","","2","1","2.333","15.00","","6.00","3.00","0.5000","","NO"
"46","1981-82","26","0","0","","2.70","1","0","0","","0","3.1","0","","1","","2","1","0.600","0.00","","5.40","2.70","0.5000","","NO"
"47","1981-82","24","0","0","","11.57","2","0","0","","0","2.1","4","","3","","2","0","2.571","15.43","","7.71","0.00","0.0000","","NO"
"48","1983-84","29","1","1","0.5000","3.65","2","2","1","","0","12.1","10","","5","","6","9","1.297","7.30","","4.38","6.57","1.5000","","NO"
"49","1983-84","23","1","1","0.5000","2.31","2","2","0","","0","11.2","8","","3","","3","8","0.943","6.17","","2.31","6.17","2.6667","","NO"
"50","1983-84","25","0","0","","4.26","1","1","0","","0","6.1","8","","3","","0","6","1.263","11.37","","0.00","8.53","","","NO"
"51","1983-84","26","0","1","0.0000","4.91","3","0","0","","0","7.1","10","","4","","6","5","2.182","12.27","","7.36","6.14","0.8333","","NO"
"52","1983-84","29","0","0","","4.50","1","1","0","","0","6.0","6","","3","","1","2","1.167","9.00","","1.50","3.00","2.0000","","NO"
