years,jugador,edad,w,l,w-l%,era,g,gs,cg,sho,sv,ip,h,r,er,hr,bb,so,whip,h/9,hr/9,bb/9,so/9,so/bb,bk,refuerzo
2016-17,A. Herrera,23,0,0,,18,1,0,0,0,0,2,3,4,4,1,3,2,3,13.5,4.5,13.5,9,0.6667,0,NO
2016-17,A. Mavare,26,0,0,,15.75,7,0,0,0,0,4,9,7,7,1,4,2,3.25,20.25,2.25,9,4.5,0.5,0,NO
2016-17,A. Noguera,28,0,0,,5.79,5,0,0,0,0,4.2,3,3,3,1,4,2,1.5,5.79,1.93,7.71,3.86,0.5,0,NO
2016-17,A. Torres,21,0,0,,0,4,0,0,0,0,4.1,2,0,0,0,2,4,923,4.15,0,4.15,8.31,2,0,NO
2016-17,C. Guevara,22,0,0,,6.23,5,0,0,0,0,4.1,6,3,3,0,3,4,2077,12.46,0,6.23,8.31,1.3333,0,NO
2016-17,D. Hurtado,24,0,0,,0,1,0,0,0,0,1.2,1,0,0,0,1,1,1.2,5.4,0,5.4,5.4,1,0,SI
2016-17,E. Escalona,30,0,0,,5,3,3,0,0,0,9,14,5,5,1,7,1,2333,14,1,7,1,0.1429,0,NO
2016-17,E. Haro,31,0,0,,3.86,3,0,0,0,0,2.1,3,1,1,0,2,1,2143,11.57,0,7.71,3.86,0.5,0,NO
2016-17,G. Guerra,23,0,0,,15,4,0,0,0,0,3,5,5,5,1,6,1,3667,15,3,18,3,0.1667,0,NO
2016-17,G. Infante,29,0,1,0,3.6,5,0,0,0,3,5,6,2,2,0,1,8,1.4,10.8,0,1.8,14.4,8,0,NO
2016-17,J. Albaladejo,34,1,1,0.5,6.57,5,3,0,0,0,12.1,14,10,9,2,7,4,1703,10.22,1.46,5.11,2.92,0.5714,0,NO
2016-17,J. Ortiz,26,1,0,1,8.1,8,0,0,0,0,3.1,7,3,3,0,1,3,2.4,18.9,0,2.7,8.1,3,0,NO
2016-17,J. Palacios,23,0,0,,4.15,5,1,0,0,0,4.1,3,2,2,0,5,1,1846,6.23,0,10.38,2.08,0.2,0,NO
