"","years","jugador","edad","w","l","w-l%","era","g","gs","cg","sho","sv","ip","h","r","er","hr","bb","so","ir","whip","h/9","hr/9","bb/9","so/9","so/bb","bk"
"1","1962-63","G. Brunet","27","9","8","0.5294","3.05","22","15","10","","1","132.2","138","","45","","43","89","105","1.364","9.36","","2.92","6.04","2.0698",""
"2","1962-63","M. López","19","7","6","0.5385","2.38","18","13","7","","2","113.2","99","","30","","46","87","134","1.276","7.84","","3.64","6.89","1.8913",""
"3","1962-63","D. Willis","24","5","3","0.6250","2.03","16","13","3","","1","93.0","70","","21","","43","74","158","1.215","6.77","","4.16","7.16","1.7209",""
"4","1962-63","N. Olano","30","1","0","1.0000","2.32","9","2","0","","0","31.0","28","","8","","11","8","138","1.258","8.13","","3.19","2.32","0.7273",""
"5","1962-63","F. Rivero","20","0","1","0.0000","7.94","3","0","0","","0","5.2","7","","5","","2","4","40","1.588","11.12","","3.18","6.35","2.0000",""
"6","1962-63","J. Campos","22","0","0","","3.60","2","0","0","","0","5.0","9","","2","","0","2","89","1.800","16.20","","0.00","3.60","",""
"7","1962-63","C. Loreto","28","0","1","0.0000","0.00","3","0","0","","0","5.2","10","","0","","0","0","","1.765","15.88","","0.00","0.00","",""
"8","1962-63","L. Salazar","19","0","0","","9.00","2","0","0","","0","2.0","4","","2","","2","0","36","3.000","18.00","","9.00","0.00","0.0000",""
"9","1962-63","C. Silva","21","0","0","","0.00","2","0","0","","0","0.2","1","","0","","0","0","","1.500","13.50","","0.00","0.00","",""
"10","1963-64","D. Willis","25","2","4","0.3333","3.28","10","10","2","","1","46.2","46","","17","","21","41","96","1.436","8.87","","4.05","7.91","1.9524",""
"11","1963-64","L. Williams","0","5","4","0.5556","1.93","10","8","4","","1","60.2","47","","13","","27","39","163","1.220","6.97","","4.01","5.79","1.4444",""
"12","1963-64","E. Thomas","0","4","3","0.5714","2.13","9","7","5","","1","63.1","53","","15","","25","32","148","1.232","7.53","","3.55","4.55","1.2800",""
"13","1963-64","G. Brunet","28","3","5","0.3750","4.66","8","8","3","","0","58.0","52","","30","","29","24","68","1.397","8.07","","4.50","3.72","0.8276",""
"14","1963-64","J. Quintana","17","2","2","0.5000","3.48","11","3","2","","1","44.0","41","","17","","24","20","91","1.477","8.39","","4.91","4.09","0.8333",""
"15","1963-64","B. Lee","26","3","4","0.4286","3.89","8","6","1","","1","41.2","55","","18","","14","16","81","1.656","11.88","","3.02","3.46","1.1429",""
"16","1963-64","N. Olano","31","0","2","0.0000","6.28","12","2","0","","1","28.2","38","","20","","11","13","50","1.709","11.93","","3.45","4.08","1.1818",""
"17","1963-64","J. Campos","23","0","2","0.0000","4.30","11","2","1","","2","23.0","21","","11","","14","11","73","1.522","8.22","","5.48","4.30","0.7857",""
"18","1963-64","M. López","20","1","1","0.5000","2.60","4","4","0","","0","17.1","18","","5","","10","8","121","1.615","9.35","","5.19","4.15","0.8000",""
"19","1963-64","J. Infante","19","1","0","1.0000","3.90","11","1","0","","0","30.0","39","","13","","11","8","81","1.667","11.70","","3.30","2.40","0.7273",""
"20","1963-64","J. Rizales","21","0","0","","0.00","1","0","0","","0","1.0","1","","0","","0","0","","1.000","9.00","","0.00","0.00","",""
"21","1964-65","D. Knowles","23","13","9","0.5909","2.37","26","17","11","","3","163.0","158","","43","","39","155","148","1.209","8.72","","2.15","8.56","3.9744",""
"22","1964-65","G. Kroll","23","1","1","0.5000","2.04","6","4","1","","0","39.2","44","","9","","13","51","172","1.437","9.98","","2.95","11.57","3.9231",""
"23","1964-65","D. Vineyard","23","5","2","0.7143","2.45","8","7","3","","0","55.0","49","","15","","16","39","143","1.182","8.02","","2.62","6.38","2.4375",""
"24","1964-65","L. Yellen","21","4","5","0.4444","4.13","13","10","2","","1","61.0","81","","28","","19","32","85","1.639","11.95","","2.80","4.72","1.6842",""
"25","1964-65","C. Carroll","23","1","1","0.5000","4.39","9","4","1","","1","26.2","24","","13","","9","20","80","1.238","8.10","","3.04","6.75","2.2222",""
"26","1964-65","J. Quintana","18","1","1","0.5000","1.76","19","5","0","","2","61.1","65","","12","","15","19","199","1.304","9.54","","2.20","2.79","1.2667",""
"27","1964-65","J. Bracho","36","0","1","0.0000","8.41","11","4","0","","2","20.1","34","","19","","5","13","42","1.918","15.05","","2.21","5.75","2.6000",""
"28","1964-65","H. Stheters","0","1","1","0.5000","3.86","4","2","0","","0","14.0","23","","6","","6","9","91","2.071","14.79","","3.86","5.79","1.5000",""
"29","1964-65","J. Campos","24","0","0","","7.24","10","0","0","","0","13.2","22","","11","","5","9","48","1.976","14.49","","3.29","5.93","1.8000",""
"30","1964-65","H. Brito","18","0","0","","5.51","10","0","0","","0","16.1","22","","10","","9","7","64","1.898","12.12","","4.96","3.86","0.7778",""
"31","1964-65","O. González","19","0","0","","9.00","1","0","0","","0","1.0","1","","1","","1","1","39","2.000","9.00","","9.00","9.00","1.0000",""
"32","1964-65","J. Infante","20","1","0","1.0000","4.50","4","1","0","","0","4.0","10","","2","","2","1","78","3.000","22.50","","4.50","2.25","0.5000",""
"33","1964-65","L. Celis","29","1","1","0.5000","22.09","3","1","0","","0","3.2","11","","9","","3","0","16","3.818","27.00","","7.36","0.00","0.0000",""
"34","1965-66","M. López","22","12","3","0.8000","1.57","17","15","13","","2","126.0","110","","22","","31","118","192","1.119","7.86","","2.21","8.43","3.8065",""
"35","1965-66","B. Brandon","25","8","11","0.4211","1.69","28","15","9","","4","164.2","129","","31","","41","101","179","1.032","7.05","","2.24","5.52","2.4634",""
"36","1965-66","J. Bracho","37","4","4","0.5000","3.08","15","12","3","","1","79.0","98","","27","","12","48","98","1.392","11.16","","1.37","5.47","4.0000",""
"37","1965-66","C. Maneff","0","5","1","0.8333","3.00","11","6","2","","2","54.0","47","","18","","10","36","101","1.056","7.83","","1.67","6.00","3.6000",""
"38","1965-66","B. Allen","28","5","3","0.6250","2.07","12","8","2","","0","69.2","75","","16","","17","27","146","1.321","9.69","","2.20","3.49","1.5882",""
"39","1965-66","J. Campos","25","2","0","1.0000","3.41","9","1","0","","0","31.2","32","","12","","6","19","89","1.200","9.09","","1.71","5.40","3.1667",""
"40","1965-66","J. Quintana","19","0","1","0.0000","5.65","7","2","0","","0","14.1","25","","9","","8","7","53","2.302","15.70","","5.02","4.40","0.8750",""
"41","1965-66","H. Brito","19","0","0","","2.25","3","0","0","","0","4.0","4","","1","","2","2","134","1.500","9.00","","4.50","4.50","1.0000",""
"42","1965-66","M. Dominguez","0","1","0","1.0000","1.80","1","1","0","","0","5.0","5","","1","","2","2","168","1.400","9.00","","3.60","3.60","1.0000",""
"43","1965-66","I. Flores","23","0","0","","13.50","1","1","0","","0","2.0","4","","3","","0","1","22","2.000","18.00","","0.00","4.50","",""
"44","1966-67","G. Brabender","25","13","7","0.6500","2.46","30","17","12","","2","160.2","131","","44","","53","147","110","1.145","7.34","","2.97","8.23","2.7736",""
"45","1966-67","B. Belinsky","30","2","5","0.2857","3.59","14","12","1","","0","72.2","77","","29","","28","64","75","1.445","9.54","","3.47","7.93","2.2857",""
"46","1966-67","J. Tsitouris","30","6","4","0.6000","3.42","12","11","4","","0","73.2","66","","28","","13","41","79","1.072","8.06","","1.59","5.01","3.1538",""
"47","1966-67","B. Faul","26","3","3","0.5000","3.02","9","4","1","","2","41.2","29","","14","","13","23","89","1.008","6.26","","2.81","4.97","1.7692",""
"48","1966-67","H. Brito","20","4","3","0.5714","4.59","18","10","1","","1","64.2","25","","33","","18","23","59","0.665","3.48","","2.51","3.20","1.2778",""
"49","1966-67","D. Coombs","24","0","1","0.0000","1.75","3","3","1","","0","25.2","18","","5","","9","22","154","1.052","6.31","","3.16","7.71","2.4444",""
"50","1966-67","J. Quintana","20","0","3","0.0000","6.04","13","2","0","","0","28.1","34","","19","","16","16","45","1.765","10.80","","5.08","5.08","1.0000",""
"51","1966-67","C. Zachary","22","0","2","0.0000","2.76","6","3","0","","1","29.1","26","","9","","11","14","98","1.261","7.98","","3.38","4.30","1.2727",""
"52","1966-67","J. Campos","26","1","1","0.5000","4.39","14","0","0","","0","26.2","26","","13","","11","13","62","1.388","8.78","","3.71","4.39","1.1818",""
"53","1966-67","M. González","34","1","1","0.5000","4.15","13","0","0","","0","17.1","18","","8","","4","10","65","1.269","9.35","","2.08","5.19","2.5000",""
"54","1966-67","V. Jiménez","22","1","0","1.0000","3.32","14","0","0","","0","21.2","23","","8","","3","6","81","1.200","9.55","","1.25","2.49","2.0000",""
"55","1966-67","J. Bracho","38","0","0","","1.80","2","1","0","","0","5.0","6","","1","","2","4","150","1.600","10.80","","3.60","7.20","2.0000",""
"56","1967-68","E. Watt","26","12","1","0.9231","1.62","27","11","6","","7","122.1","98","","22","","23","86","193","0.989","7.21","","1.69","6.33","3.7391",""
"57","1967-68","J. Weaver","28","10","4","0.7143","3.39","22","18","5","","1","124.2","124","","47","","36","59","92","1.283","8.95","","2.60","4.26","1.6389",""
"58","1967-68","P. Knechtges","0","6","3","0.6667","2.74","14","10","2","","0","69.0","51","","21","","29","45","114","1.159","6.65","","3.78","5.87","1.5517",""
"59","1967-68","H. Urbano","26","3","7","0.3000","3.80","21","8","0","","0","68.2","86","","29","","27","43","82","1.646","11.27","","3.54","5.64","1.5926",""
"60","1967-68","T. Fisher","25","2","6","0.2500","4.06","14","7","0","","0","57.2","71","","26","","17","30","77","1.526","11.08","","2.65","4.68","1.7647",""
"61","1967-68","A. Monteagudo","24","2","2","0.5000","3.94","6","3","1","","1","29.2","38","","13","","13","18","79","1.719","11.53","","3.94","5.46","1.3846",""
"62","1967-68","J. Quintana","21","1","0","1.0000","3.15","10","4","0","","0","34.1","33","","12","","11","17","99","1.282","8.65","","2.88","4.46","1.5455",""
"63","1967-68","H. Brito","21","0","1","0.0000","5.55","16","0","0","","0","24.1","26","","15","","13","5","56","1.603","9.62","","4.81","1.85","0.3846",""
"64","1967-68","C. Moreno","20","0","1","0.0000","5.65","11","0","0","","1","14.1","16","","9","","7","4","55","1.605","10.05","","4.40","2.51","0.5714",""
"65","1967-68","V. Jiménez","23","0","0","","0.00","6","0","0","","0","5.2","2","","0","","2","2","","0.706","3.18","","3.18","3.18","1.0000",""
"66","1967-68","N. Mendible","21","0","0","","0.00","1","0","0","","0","0.2","0","","0","","0","0","","0.000","0.00","","0.00","0.00","",""
"67","1968-69","R. Fingers","22","7","6","0.5385","2.05","22","15","9","","4","136.1","130","","31","","36","99","156","1.218","8.58","","2.38","6.54","2.7500",""
"68","1968-69","R. Nye","24","10","6","0.6250","2.66","21","16","7","","1","138.2","130","","41","","42","96","120","1.240","8.44","","2.73","6.23","2.2857",""
"69","1968-69","A. Monteagudo","25","5","5","0.5000","2.97","21","12","2","","1","78.2","95","","26","","9","67","108","1.322","10.87","","1.03","7.67","7.4444",""
"70","1968-69","M. López","25","4","5","0.4444","4.25","12","10","2","","0","59.1","67","","28","","32","46","75","1.669","10.16","","4.85","6.98","1.4375",""
"71","1968-69","J. Nyman","26","1","1","0.5000","2.97","6","4","0","","0","30.1","20","","10","","19","26","108","1.286","5.93","","5.64","7.71","1.3684",""
"72","1968-69","H. Urbano","27","4","1","0.8000","2.84","18","1","0","","0","31.2","27","","10","","10","14","113","1.168","7.67","","2.84","3.98","1.4000",""
"73","1968-69","H. Brito","22","1","2","0.3333","1.99","9","1","1","","0","31.2","23","","7","","14","10","161","1.168","6.54","","3.98","2.84","0.7143",""
"74","1968-69","C. Moreno","21","1","0","1.0000","4.79","11","1","0","","0","20.2","24","","11","","11","9","67","1.694","10.45","","4.79","3.92","0.8182",""
"75","1968-69","E. Gutierrez","23","0","0","","2.70","5","0","0","","0","6.2","5","","2","","7","3","119","1.800","6.75","","9.45","4.05","0.4286",""
"76","1968-69","N. Mendible","22","0","0","","0.00","3","0","0","","0","5.0","1","","0","","0","3","","0.200","1.80","","0.00","5.40","",""
"77","1968-69","V. Jiménez","24","0","0","","9.00","1","0","0","","0","1.0","2","","1","","1","1","36","3.000","18.00","","9.00","9.00","1.0000",""
"78","1969-70","A. Monteagudo","26","7","7","0.5000","2.85","22","11","6","","3","110.1","96","","35","","24","88","95","1.088","7.83","","1.96","7.18","3.6667",""
"79","1969-70","L. Jaster","25","6","6","0.5000","2.57","20","15","3","","0","122.1","114","","35","","32","83","106","1.193","8.39","","2.35","6.11","2.5938",""
"80","1969-70","M. Hedlund","23","10","3","0.7692","0.75","20","13","10","","2","120.1","70","","10","","31","63","363","0.839","5.24","","2.32","4.71","2.0323",""
"81","1969-70","R. Nye","25","3","3","0.5000","2.11","14","8","2","","0","68.1","68","","16","","19","30","129","1.273","8.96","","2.50","3.95","1.5789",""
"82","1969-70","M. López","26","1","3","0.2500","3.33","6","5","1","","0","24.1","20","","9","","18","16","82","1.562","7.40","","6.66","5.92","0.8889",""
"83","1969-70","V. Patino","19","1","2","0.3333","4.50","6","4","0","","0","22.0","24","","11","","19","12","60","1.955","9.82","","7.77","4.91","0.6316",""
"84","1969-70","H. Brito","23","2","3","0.4000","5.30","11","5","0","","0","35.2","44","","21","","16","8","51","1.682","11.10","","4.04","2.02","0.5000",""
"85","1969-70","H. Urbano","28","0","0","","7.30","9","0","0","","0","12.1","14","","10","","8","8","37","1.784","10.22","","5.84","5.84","1.0000",""
"86","1969-70","C. Moreno","22","2","2","0.5000","3.45","15","0","0","","2","28.2","33","","11","","11","7","79","1.535","10.36","","3.45","2.20","0.6364",""
"87","1969-70","E. Gutierrez","24","0","0","","2.08","3","0","0","","0","4.1","2","","1","","3","1","131","1.154","4.15","","6.23","2.08","0.3333",""
"88","1969-70","O. Rojas","25","0","0","","0.00","1","0","0","","0","1.0","3","","0","","1","1","","4.000","27.00","","9.00","9.00","1.0000",""
"89","1970-71","A. Monteagudo","27","7","4","0.6364","2.13","16","14","7","","2","114.1","96","","27","","25","73","154","1.058","7.56","","1.97","5.75","2.9200",""
