years,jugador,Premio
2011-12,Marcos Davalillo,Manager del año
1991-92,Chad Curtis,Productor del año
1994-95,Carlos Martinez,Productor del año
1995-96,Carlos Martinez,Productor del año
2000-01,Chris Jones,Productor del año
2013-14,Álex Cabrera,Productor del año
2011-12,Hector Sanchez,Receptor del año
1986-87,Luis Salazar,Regreso del año
1994-95,Carlos Martinez,Regreso del año
2003-04,Liu Rodriguez,Regreso del año
2008-09,Wilfredo Romero,Regreso del año
1963-64,Juan Quintana,Novato del año
1973-74,Romo Blanco,Novato del año
1976-77,Juan Monasterios,Novato del año
1980-81,Gustavo Pulidor,Novato del año
1981-82,Argenis Salazar,Novato del año
1982-83,Norman Carrasco,Novato del año
2000-01,Carlos Mendoza,Novato del año
2003-04,Francisco Rodriguez,Novato del año
2008-09,Maximiliano Ramírez,Novato del año
2011-12,Héctor Sanchez,Novato del año
2012-13,Salvador Pérez,Novato del año
2013-14,Carlos Sanchez,Novato del año
2014-15,Odubel Herrera,Novato del año
1987-88,Luis Salazar,MVP
1991-92,Chad Curtis,MVP
2000-01,Chris Jones,MVP
2011-12,Gregor Blanco,MVP
2013-14,Álex Cabrera,MVP
2014-15,Odubel Herrera,MVP
2015-16,Álex Cabrera,MVP
1964-65,Darold Knowles,Triple corona (Picheo)
2013-14,Álex Cabrera,Triple corona (Bateo)
2019-20,Renny Osuna,Manager del año
