"","years","jugador","name","pos","bat","lan","exp","pais","estado","ciudad"
"1","1962-63","D. Acosta","Dionisio A. Acosta","C","D","D","9","Venezuela","Zulia","Maracaibo"
"2","1962-63","D. Blanco","Dámaso Blanco Caripe","3B","D","D","3","Venezuela","Miranda","Curiepe"
"3","1962-63","G. Brunet","George Stuart Brunet","P","D","Z","1","USA","Michigan","Houghton"
"4","1962-63","J. Campos","Juan Campos","P","D","D","1","Venezuela","Miranda","Petare"
"5","1962-63","E. Chacon","Elio Chacon Rodríguez","IF","D","D","8","Venezuela","D.F.","Caracas"
"6","1962-63","C. Escobar","Carlos Escobar","2B","D","D","2","Venezuela","Carabobo","Guacara"
"7","1962-63","J. Hartman","J C Hartman","IF","D","D","1","USA","Alabama","Cottonton"
"8","1962-63","M. López","Marcelino Pons López","P","D","Z","1","Cuba","","La Habana"
"9","1962-63","C. Loreto","Carlos Loreto","P","D","D","6","Venezuela","Aragua","Cagua"
"10","1962-63","J. Mora","Jesús Mora","IF","D","D","9","Venezuela","Zulia","Maracaibo"
"11","1962-63","N. Olano","Néstor Olano","P","D","D","7","Venezuela","Zulia","Maracaibo"
"12","1962-63","M. Ranew","Merritt Thomas Ranew","C","Z","D","1","USA","Georgia","Albany"
"13","1962-63","G. Ravelo","Graciano Ravelo","CF","D","D","6","Venezuela","D.F.","Caracas"
"14","1962-63","F. Rivero","Freddy Rivero","P","D","D","3","Venezuela","Vargas","Caraballeda"
"15","1962-63","D. Roberts","David Leónard Roberts","CF","Z","Z","1","Panama","","Panama City"
"16","1962-63","P. Rosario","Pascual Rosario","IF","D","D","1","Venezuela","Carabobo","Puerto Cabello"
"17","1962-63","L. Salazar","Luis Salazar","P","D","D","3","Venezuela","Carabobo","Puerto Cabello"
"18","1962-63","C. Silva","Cristo Silva","P","Z","Z","2","Venezuela","Lara","Barquisimeto"
"19","1962-63","H. Silva","Hector Silva","IF","D","D","3","Venezuela","Miranda","Guarenas"
"20","1962-63","R. Soto","Rogelio Soto","BE","D","D","1","Venezuela","Zulia","Maracaibo"
"21","1962-63","L. Tovar","Leopoldo Tovar","CF","D","D","8","Venezuela","D.F.","Caracas"
"22","1962-63","G. Vento","Guillermo Vento","C","D","D","18","Venezuela","Zulia","Maracaibo"
"23","1962-63","D. Willis","Dale Jerome Willis","P","D","D","1","USA","Georgia","Calhoun"
"24","1963-64","L. Aparicio","Luis Ernesto Aparicio Montiel","SS","D","D","3","Venezuela","Zulia","Maracaibo"
"25","1963-64","F. Borges","Francisco Borges","C","D","D","1","Venezuela","Vargas","La Guaira"
"26","1963-64","A. Bravo","Ángel Alfonso Bravo Urdaneta","CF","Z","Z","2","Venezuela","Zulia","Maracaibo"
"27","1963-64","G. Brunet","George Stuart Brunet","P","D","Z","2","USA","Michigan","Houghton"
"28","1963-64","J. Campos","Juan Campos","P","D","D","2","Venezuela","Miranda","Petare"
"29","1963-64","E. Chacon","Elio Chacon Rodríguez","IF","D","D","9","Venezuela","D.F.","Caracas"
"30","1963-64","J. Figueroa","José Figueroa","BE","D","D","1","Venezuela","Anzoategui","Barcelona"
"31","1963-64","M. García","Manuel García","IF","D","D","1","Cuba","","La Habana"
"32","1963-64","J. Hartman","J C Hartman","IF","D","D","2","USA","Alabama","Cottonton"
"33","1963-64","J. Herrera","José Concepcion Herrera Ontiveros","IF","D","D","1","Venezuela","Zulia","San Lorenzo"
"34","1963-64","J. Infante","José Infante","P","Z","Z","1","Venezuela","Zulia","Maracaibo"
"35","1963-64","L. Johnson","Louis Brown Johnson","CF","D","D","2","USA","Kentucky","Lexington"
"36","1963-64","B. Lee","Robert Dean Lee","P","D","D","1","USA","Iowa","Ottumwa"
"37","1963-64","M. López","Marcelino Pons López","P","D","Z","2","Cuba","","La Habana"
"38","1963-64","G. Mckenzie","Gordon Mckenzie","C","","","1","USA","",""
"39","1963-64","O. Muñoz","Omer Muñoz","IF","D","D","1","Venezuela","Zulia","Maracaibo"
"40","1963-64","J. Noguera","Jairo Noguera","CE","D","D","1","Venezuela","Zulia","Maracaibo"
"41","1963-64","N. Olano","Néstor Olano","P","D","D","8","Venezuela","Zulia","Maracaibo"
"42","1963-64","J. Ovalles","José Ovalles","1B","D","D","2","Venezuela","Anzoategui","El Tigrito"
"43","1963-64","J. Quintana","Juan Quintana","P","D","D","1","Venezuela","Miranda","Mamporal"
"44","1963-64","P. Quintana","Patricio Quintana","IF","D","D","3","Cuba","",""
"45","1963-64","G. Ravelo","Graciano Ravelo","CF","D","D","7","Venezuela","D.F.","Caracas"
"46","1963-64","J. Rizales","Jesús Rizales","P","D","D","1","Venezuela","Anzoategui","Barcelona"
"47","1963-64","D. Roberts","David Leónard Roberts","CF","Z","Z","2","Panama","","Panama City"
"48","1963-64","O. Rondon","Óscar Rondon","C","D","D","1","Venezuela","Tachira","San Cristobal"
"49","1963-64","E. Thomas","Edward Thomas","P","","","1","USA","",""
"50","1963-64","L. Tovar","Leopoldo Tovar","CF","D","D","9","Venezuela","D.F.","Caracas"
"51","1963-64","P. Villaren","Pedro Villaren","3B","D","D","1","Venezuela","Anzoategui","Barcelona"
"52","1963-64","C. Weatherspoon","Charles Weatherspoon","C","D","D","1","USA","Texas","Pineland"
"53","1963-64","J. Weekly","Johnny Weekly","CF","D","D","1","USA","Luisiana","Waterproof"
"54","1963-64","L. Williams","Larry Williams","P","","","1","USA","",""
"55","1963-64","D. Willis","Dale Jerome Willis","P","D","D","2","USA","Georgia","Calhoun"
"56","1963-64","J. Wooten","Joseph Wooten","C","D","D","1","USA","",""
"57","1964-65","L. Aparicio","Luis Ernesto Aparicio Montiel","SS","D","D","4","Venezuela","Zulia","Maracaibo"
"58","1964-65","W. Bond","Walter Franklin Bond","1B","Z","D","1","USA","Tennessee","Denmark"
"59","1964-65","J. Bracho","José de La Trinidad Bracho","P","D","D","17","Venezuela","Zulia","Maracaibo"
"60","1964-65","A. Bravo","Ángel Alfonso Bravo Urdaneta","CF","Z","Z","3","Venezuela","Zulia","Maracaibo"
"61","1964-65","H. Brito","Hector Brito","P","D","D","1","Venezuela","Vargas","Naiguata"
"62","1964-65","J. Campos","Juan Campos","P","D","D","3","Venezuela","Miranda","Petare"
"63","1964-65","C. Carroll","Clay Palmer Carroll","P","D","D","1","USA","Alabama","Clanton"
"64","1964-65","L. Celis","Lucio Celis","P","D","D","12","Venezuela","Aragua","Cuyagua"
"65","1964-65","E. Chacon","Elio Chacon Rodríguez","IF","D","D","10","Venezuela","D.F.","Caracas"
"66","1964-65","P. Corrales","Patrick Corrales","C","D","D","1","USA","California","Los Angeles"
"67","1964-65","A. Ferrara","Alfred John Ferrara Jr.","CF","D","D","1","USA","Nueva York","Brooklyn"
"68","1964-65","M. García","Manuel García","IF","D","D","2","Cuba","","La Habana"
"69","1964-65","O. González","Orangel González","P","D","D","1","Venezuela","Sucre","Cumana"
"70","1964-65","W. Graham","Wayne León Graham","3B","D","D","1","USA","Texas","Yoakum"
"71","1964-65","J. Grote","Gerald Wayne Grote","C","D","D","1","USA","Texas","San Antonio"
"72","1964-65","K. Hamlim","Kenneth Hamlim","3B","D","D","1","USA","Michigan","Detroit"
"73","1964-65","J. Herrera","José Concepcion Herrera Ontiveros","IF","D","D","2","Venezuela","Zulia","San Lorenzo"
"74","1964-65","J. Infante","José Infante","P","Z","Z","2","Venezuela","Zulia","Maracaibo"
"75","1964-65","D. Johnson","David Charles Johnson","IF","D","D","1","USA","Texas","Abilene"
"76","1964-65","D. Knowles","Darold Duane Knowles","P","Z","Z","1","USA","Misuri","Brunswick"
"77","1964-65","G. Kroll","Gary Melvin Kroll","P","D","D","1","USA","California","Culver City"
"78","1964-65","M. Medina","Manuel Medina","IF","D","D","1","Venezuela","Miranda","Altagracia"
"79","1964-65","J. Quintana","Juan Quintana","P","D","D","2","Venezuela","Miranda","Mamporal"
"80","1964-65","F. Ramírez","Fernando Ramírez","BE","D","D","1","Venezuela","Zulia","Maracaibo"
"81","1964-65","G. Ravelo","Graciano Ravelo","CF","D","D","8","Venezuela","D.F.","Caracas"
"82","1964-65","D. Roberts","David Leónard Roberts","CF","Z","Z","3","Panama","","Panama City"
"83","1964-65","H. Stethers","Howard Stethers","P","","","1","USA","",""
