"player_id","years","jugador","name","first_name","last_name","pos","bat","lan","exp","pais","estado","ciudad ","f_nac","ronda","b_reference_id","propietario","Edad"
"esccar001","1962-63","C. Escobar","Carlos Escobar","Carlos","Escobar","2B","D","D",2,"Venezuela","Carabobo","Guacara","10/2/1939","regular",,"PPP",24
"lorcar001","1962-63","C. Loreto","Carlos Loreto","Carlos","Loreto","P","D","D",6,"Venezuela","Aragua","Cagua","11/11/1934","regular",,"PPP",29
"silcri001","1962-63","C. Silva","Cristo Silva","Cristo","Silva","P","Z","Z",2,"Venezuela","Lara","Barquisimeto","6/19/1941","regular",,"PPP",22
"wildal001","1962-63","D. Willis","Dale Jerome Willis","Dale","Willis","P","D","D",1,"USA","Georgia","Calhoun",,"regular",,"PPP",64
"bladam001","1962-63","D. Blanco","Dámaso Blanco Caripe","Dámaso","Blanco","3B","D","D",3,"Venezuela","Miranda","Curiepe",,"regular",,"PPP",64
"robdav001","1962-63","D. Roberts","David Leónard Roberts","David","Roberts","CF","Z","Z",1,"Panama","Panama City",,,"regular",,"PPP",64
"acodio001","1962-63","D. Acosta","Dionisio A. Acosta","Dionisio","Acosta","C","D","D",9,"Venezuela","Zulia","Maracaibo",,"regular",,"PPP",64
"chaeli001","1962-63","E. Chacon","Elio Chacon Rodríguez","Elio","Chacon","IF","D","D",8,"Venezuela","Distrito Federal","Caracas",,"regular",,"PPP",64
"rivfre001","1962-63","F. Rivero","Freddy Rivero","Freddy","Rivero","P","D","D",3,"Venezuela","Vargas","Caraballeda",,"regular",,"PPP",64
"brugeo001","1962-63","G. Brunet","George Stuart Brunet","George","Brunet","P","D","Z",1,"USA","Michigan","Houghton","6/8/1935","regular",,"PPP",28
"ravgra001","1962-63","G. Ravelo","Graciano Ravelo","Graciano","Ravelo","CF","D","D",6,"Venezuela","Distrito Federal","Caracas","12/18/1934","regular",,"PPP",29
"vengui001","1962-63","G. Vento","Guillermo Vento","Guillermo","Vento","C","D","D",18,"Venezuela","Zulia","Maracaibo","7/5/1921","regular",,"PPP",42
"silhec001","1962-63","H. Silva","Hector Silva","Hector","Silva","IF","D","D",3,"Venezuela","Miranda","Guarenas","12/3/1942","regular",,"PPP",21
"harjc001","1962-63","J. Hartman","J C Hartman","JC","Hartman","IF","D","D",1,"USA","Alabama","Cottonton","4/15/1934","regular",,"PPP",29
"morjah001","1962-63","J. Mora","Jesús Mora","Jesús","Mora","IF","D","D",9,"Venezuela","Zulia","Maracaibo",,"regular",,"PPP",64
"camjua001","1962-63","J. Campos","Juan Campos","Juan","Campos","P","D","D",1,"Venezuela","Miranda","Petare","11/24/1940","regular",,"PPP",23
"tovleo001","1962-63","L. Tovar","Leopoldo Tovar","Leopoldo","Tovar","CF","D","D",8,"Venezuela","Distrito Federal","Caracas","11/15/1934","regular",,"PPP",29
"sallui003","1962-63","L. Salazar","Luis Salazar","Luis","Salazar","P","D","D",3,"Venezuela","Carabobo","Puerto Cabello","7/16/1943","regular",,"PPP",20
"lopmar001","1962-63","M. López","Marcelino Pons López","Marcelino","López","P","D","Z",1,"Cuba","La Habana",,"9/23/1943","regular",,"PPP",20
"ranmer001","1962-63","M. Ranew","Merritt Thomas Ranew","Merritt","Ranew","C","Z","D",1,"USA","Georgia","Albany","10/05/1938","regular",,"PPP",25
"olanes001","1962-63","N. Olano","Néstor Olano","Néstor","Olano","P","D","D",7,"Venezuela","Zulia","Maracaibo","6/8/1932","regular",,"PPP",31
"rospas001","1962-63","P. Rosario","Pascual Rosario","Pascual","Rosario","IF","D","D",1,"Venezuela","Carabobo","Puerto Cabello","5/17/1941","regular",,"PPP",22
"sotrog001","1962-63","R. Soto","Rogelio Soto","Rogelio","Soto","BE","D","D",1,"Venezuela","Zulia","Maracaibo",,"regular",,"PPP",64
"braang001","1963-64","A. Bravo","Ángel Alfonso Bravo Urdaneta","Ángel","Bravo","CF","Z","Z",2,"Venezuela","Zulia","Maracaibo","8/4/1942","regular",,"PPP",22
"weacha001","1963-64","C. Weatherspoon","Charles Weatherspoon","Charles","Weatherspoon","C","D","D",1,"USA","Texas","Pineland",,"regular",,"PPP",65
"wildal001","1963-64","D. Willis","Dale Jerome Willis","Dale","Willis","P","D","D",2,"USA","Georgia","Calhoun",,"regular",,"PPP",65
"robdav001","1963-64","D. Roberts","David Leónard Roberts","David","Roberts","CF","Z","Z",2,"Panama","Panama City",,,"regular",,"PPP",65
"thoedw001","1963-64","E. Thomas","Edward Thomas","Edward","Thomas","P",,,1,"USA",,,,"regular",,"PPP",65
"chaeli001","1963-64","E. Chacon","Elio Chacon Rodríguez","Elio","Chacon","IF","D","D",9,"Venezuela","Distrito Federal","Caracas",,"regular",,"PPP",65
"borfra001","1963-64","F. Borges","Francisco Borges","Francisco","Borges","C","D","D",1,"Venezuela","Vargas","La Guaira",,"regular",,"PPP",65
"brugeo001","1963-64","G. Brunet","George Stuart Brunet","George","Brunet","P","D","Z",2,"USA","Michigan","Houghton","6/8/1935","regular",,"PPP",29
"mckgor001","1963-64","G. Mckenzie","Gordon Mckenzie","Gordon","Mckenzie","C","D","D",1,"USA","Florida","San Petersburg","07/09/37","regular",,"PPP",27
"ravgra001","1963-64","G. Ravelo","Graciano Ravelo","Graciano","Ravelo","CF","D","D",7,"Venezuela","Distrito Federal","Caracas","12/18/1934","regular",,"PPP",30
"harjc001","1963-64","J. Hartman","J C Hartman","JC","Hartman","IF","D","D",2,"USA","Alabama","Cottonton","4/15/1934","regular",,"PPP",30
"nogjai001","1963-64","J. Noguera","Jairo Noguera","Jairo","Noguera","CE","D","D",1,"Venezuela","Zulia","Maracaibo","3/12/1946","regular",,"PPP",18
"rizjes001","1963-64","J. Rizales","Jesús Rizales","Jesús","Rizales","P","D","D",1,"Venezuela","Anzoategui","Barcelona","1/20/1942","regular",,"PPP",22
"weejoh001","1963-64","J. Weekly","Johnny Weekly","Johnny","Weekly","CF","D","D",1,"USA","Luisiana","Waterproof","6/14/1937","regular",,"PPP",27
"herjos002","1963-64","J. Herrera","José Concepcion Herrera Ontiveros","José","Herrera","IF","D","D",1,"Venezuela","Zulia","San Lorenzo","4/8/1942","regular",,"PPP",22
"figjos002","1963-64","J. Figueroa","José Figueroa","José","Figueroa","BE","D","D",1,"Venezuela","Anzoategui","Barcelona","7/28/1944","regular",,"PPP",20
"infjos001","1963-64","J. Infante","José Infante","José","Infante","P","Z","Z",1,"Venezuela","Zulia","Maracaibo","4/6/1944","regular",,"PPP",20
"ovajos001","1963-64","J. Ovalles","José Ovalles","José","Ovalles","1B","D","D",2,"Venezuela","Anzoategui","El Tigrito","7/29/1942","regular",,"PPP",22
"woojos001","1963-64","J. Wooten","Joseph Wooten","Joseph","Wooten","C","D","D",1,"USA",,,,"regular",,"PPP",65
